src,ref,hyp
"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".",最后，土耳其舞蹈团“安纳托利亚之火”表演了节目《特洛伊》。,在结束时，土耳其舞蹈团体“安纳托利亚之火”表演了名为“特洛伊”的节目。
"Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway.",13岁的摩托车赛车手彼得·伦茨在印第安纳波利斯赛车场发生事故后去世。,13岁的摩托车赛车手彼得·伦茨在印第安纳波利斯赛车场发生事故后不幸去世。
"While on his warm-up lap, Lenz fell off his bike, and was then struck by fellow racer Xavier Zayat.",伦茨在热身圈行驶时从赛车上摔下，随后被同场比赛的车手泽维尔·扎亚特撞击。,在进行热身圈时，伦茨从自行车上摔了下来，随后被同队车手泽亚特撞上。
He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.,赛道医疗人员立即对他进行救治，并将他送往当地医院，但他随后因伤势过重去世。,他随即被赛道医疗人员救助，并被送往当地医院，随后不治身亡。
Zayat was unhurt in the accident.,扎亚特在这起事故中没有受伤。,扎亚特在事故中未受伤。
"Regarding the global financial situation, Zapatero continued by saying that ""the financial system is a part of the economy, a crucial part.",关于全球金融形势，萨帕特罗继续说道：“金融体系是经济的一部分，而且是至关重要的一部分。”,关于全球经济形势，萨帕特罗接着表示，“金融体系是经济的一部分，是至关重要的部分。”
"We have a year-long financial crisis, which has had its most acute moment in the past two months, and I think now the financial markets are beginning to recover.""",“这场金融危机已经持续了一年，其中最严重的阶段出现在过去两个月。我认为，目前金融市场正开始复苏。”,我们经历了一年期的金融危机，其最严峻的时刻出现在过去的两个月，我认为现在金融市场开始复苏了。
"Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.",上周，裸体新闻（Naked News）宣布将通过新增三档广播节目，大幅扩大其国际多语言新闻报道业务。,上周，Naked News宣布将大幅增加其国际语言新闻报道的使命，新增三条广播。
"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.",该全球组织目前已使用英语和日语进行报道，并正在为电视、网络和移动设备推出西班牙语、意大利语和韩语节目。,已经用英语和日语进行报道，这家全球性机构现在推出了西班牙语、意大利语和韩语的节目，涵盖电视、网络和移动设备。
"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.",“幸运的是，我没有受到任何伤害，但我目睹了可怕的一幕，人们试图打破窗户逃出去。”,幸运的是，我没事，但我看到了一个惨烈的场景，人们试图砸碎窗户以便逃生。
"People were hitting the panes with chairs, but the windows were unbreakable.",人们用椅子撞击玻璃窗，但窗户无法被打破。,人们用椅子砸窗户，但窗户是打不碎的。
"One of the panes finally broke, and they started to get out by the window,"" said survivor Franciszek Kowal.",幸存者弗朗齐歇克·科瓦尔说：“最终一块玻璃碎了，他们开始从窗户逃出去。”,其中一扇窗户终于破碎了，他们开始从窗户逃出去，”幸存者弗朗西斯克·科瓦尔说道。
Stars give off light and heat because of the energy made when hydrogen atoms are merged (or fused) together to form heavier elements.,恒星会发出光和热，这是因为氢原子结合（或聚变）形成更重元素时会产生能量。,星星发出光和热是因为氢原子被融合成更重的元素时释放出的能量。
Scientists are working to create a reactor that can make energy in the same way.,科学家正在努力研制一种能够以相同方式产生能量的反应堆。,科学家们正在努力创造一种能够以相同方式产生能量的反应堆。
"This, however, is a very hard problem to solve and will take many years before we see useful fusion reactors built.",然而，这是一个非常难以解决的问题，可能需要很多年才能看到实用的聚变反应堆建成。,然而，这是一个非常难以解决的问题，要看到实用的聚变反应堆建成，还需要很多年。
The steel needle floats on top of the water because of surface tension.,钢针能够漂浮在水面上，是因为表面张力的作用。,钢针能够浮在水面上，这是由于表面张力的作用。
Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,表面张力的产生是因为水面上的水分子彼此之间的吸引力，比它们与上方空气分子之间的吸引力更强。,表面张力发生是因为水面的水分子比对上方空气分子的吸引力更强，彼此之间有更强的吸引力。
The water molecules make an invisible skin on the water’s surface that allows things like the needle to float on top of the water.,水分子会在水面形成一层看不见的薄膜，使像钢针这样的物体能够漂浮在水面上。,水分子在水面形成一层看不见的膜，使得像针这样的物体能够浮在水面之上。
"The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.",现代冰鞋的刀刃具有双刃结构，两刃之间有一个凹槽。即使冰刀倾斜，双刃也能让冰鞋更好地抓住冰面。,现代冰刀刀刃具有双刃，两刃之间形成一个凹槽。这两刃即使在倾斜时也能更好地抓冰。
"Because the bottom of the blade is slightly curved, as the blade tilts to one side or the other, the edge which is in contact with the ice also curves.",由于冰刀底部略微弯曲，当冰刀向任一侧倾斜时，与冰面接触的刀刃也会随之弯曲。,因为刀片底部略微弯曲，当刀片向左或向右倾斜时，与冰接触的边缘也会随之弯曲。
"This causes the skater to turn. If the skates tilt to the right, the skater turns right, if the skates tilt to the left, the skater turns left.",这会使滑冰者转向。如果冰刀向右倾斜，滑冰者就向右转；如果冰刀向左倾斜，滑冰者就向左转。,这使得滑冰者转向。如果冰刀向右倾斜，滑冰者向右转；如果冰刀向左倾斜，滑冰者向左转。
"To return to their previous energy level, they must get rid of the extra energy they got from the light.",为了恢复到原来的能量状态，它们必须释放从光中获得的额外能量。,要恢复到之前的能量水平，他们必须摆脱从光中获得的多余能量。
"They do this by emitting a tiny particle of light called a ""photon"".",它们通过发射一种被称为“光子”的微小光粒子来实现这一过程。,他们通过发射一种称为“光子”的微小光粒子来做到这一点。
"Scientists call this process ""stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation.",科学家将这一过程称为“受激辐射”，因为原子受到强光刺激后会发射光子，而光本身也是一种辐射。,科学家将这一过程称为“受激辐射”，因为原子受到明亮光线的刺激，导致光子的发射，而光是一种辐射。
"The next picture shows the atoms emitting photons. Of course, in reality photons are a lot smaller than those in the picture.",下一张图片展示了原子发射光子的过程。当然，实际上光子要比图片中显示的小得多。,下一张图片显示了原子发射光子。当然，在现实中，光子比图片中显示的要小得多。
Photons are even smaller than the stuff that makes up atoms!,光子甚至比构成原子的物质还要小！,光子甚至比构成原子的物质还要小！
After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.,灯泡使用数百小时后，内部灯丝最终会烧坏，灯泡也就无法继续工作。,经过数百小时的使用后，灯泡中的灯丝最终会烧断，灯泡将不再工作。
The light bulb then needs replacing. It is necessary to be careful in replacing the light bulb.,此时需要更换灯泡，更换灯泡时必须小心操作。,灯泡需要更换。更换灯泡时要小心。
"First, the switch for the light fixture needs to be turned off or the cable disconnected.",首先，需要关闭灯具开关或断开电缆连接。,首先，需要关闭灯具的开关或断开电缆连接。
This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,这是因为，当灯泡仍部分连接在插座中时，如果触碰插座内部或灯泡的金属底座，流入灯座的电流可能会导致严重电击。,这是因为在灯泡金属部分所在的插座中流动的电流，如果你在灯泡仍部分插入插座时触摸插座内部或灯泡的金属底座，可能会导致严重的电击。
"The major organ of the circulatory system is the heart, which pumps the blood.",循环系统的主要器官是心脏，它负责泵送血液。,循环系统的主要器官是心脏，它负责泵血。
Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.,血液通过称为动脉的血管从心脏流出，再通过称为静脉的血管回流到心脏。最细小的血管称为毛细血管。,血液从心脏通过称为动脉的管道离开，然后通过称为静脉的管道返回心脏。最小的管道称为毛细血管。
A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.,三角龙的牙齿不仅能够咬碎树叶，甚至还能咬碎非常坚硬的树枝和树根。,三角龙的牙齿不仅能咬碎树叶，甚至能咬碎非常坚硬的树枝和树根。
"Some scientists think Triceratops ate cycads, which are a type of plant that was common in the Cretaceous.",一些科学家认为三角龙以苏铁为食，这是一种在白垩纪时期十分常见的植物。,一些科学家认为角龙吃苏铁，而苏铁是白垩纪时期常见的植物。
"These plants look like a small palm tree with a crown of sharp, spiky leaves.",这些植物看起来像小型棕榈树，顶部生长着一簇尖锐、带刺的叶子。,这些植物看起来像一棵小棕榈树，顶部有一簇尖锐的刺状叶子。
A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,三角龙可能会用强壮的喙剥去叶子，然后食用树干。,三角龙可以用它强壮的喙撕下树叶，然后吃树干。
"Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.",其他科学家认为这些植物具有很强的毒性，因此恐龙不太可能食用它们，尽管如今树懒以及其他动物（例如鹦鹉，恐龙的后代）能够食用有毒的叶子或果实。,其他科学家认为这些植物非常有毒，因此不太可能有任何恐龙吃它们，尽管如今树懒和其他动物（如鹦鹉，恐龙的后裔）可以吃有毒的叶子或水果。
"How would Io's gravity pull on me? If you stood on the surface of Io, you would weigh less than you do on Earth.",木卫一的重力会如何作用于我？如果你站在木卫一表面，你的体重会比在地球上轻。,木卫二的引力会如何影响我？如果你站在木卫二的表面上，你的体重会比在地球上轻。
"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you.",一个在地球上重200磅（90千克）的人，在木卫一上的重量约为36磅（16千克）。因此，木卫一的重力对你的拉力当然更小。,一个体重200磅（90公斤）的人在地球上会重约36磅（16公斤）在木卫一。因此，重力当然对你的拉力更小。
"The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.",太阳不像地球那样拥有可以站立的地壳。整个太阳由气体、炽热物质和等离子体组成。,太阳不像地球那样有一个你可以站立的外壳。整个太阳都是由气体、火焰和等离子体组成的。
The gas becomes thinner as you go farther from the center of the Sun.,距离太阳中心越远，气体就会变得越稀薄。,气体在远离太阳中心越远的地方变得越稀薄。
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".",我们观察太阳时看到的外层称为光球层，其含义是“光之球”。,我们看到的太阳外层称为光球层，意为“光之球”。
"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.",大约三千年后，也就是1610年，意大利天文学家伽利略·伽利莱使用望远镜观察到金星也像月球一样具有相位变化。,大约三千年之后，1610年，意大利天文学家伽利略·伽利略使用望远镜观察到金星有盈亏现象，就像月球一样。
Phases happen because only the side of Venus (or of the Moon) facing the Sun is lighted. The phases of Venus supported the theory of Copernicus that the planets go around the Sun.,相位变化是因为金星（或月球）只有朝向太阳的一面被照亮。金星的相位变化支持了哥白尼提出的行星绕太阳运行的理论。,金星的相位变化是因为只有金星（或月球）面向太阳的一面被照亮。金星的相位变化支持了哥白尼的理论，即行星围绕太阳运行。
"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.",几年后，也就是1639年，英国天文学家杰里迈亚·霍罗克斯（Jeremiah Horrocks）观测到了金星凌日现象。,然后，几年后，即1639年，一位名叫杰里米亚·霍罗克斯的英国天文学家观察到了金星凌日。
England had experienced a long period of peace after the reconquest of the Danelaw.,重新征服丹麦法地区（Danelaw）后，英格兰经历了长期的和平时期。,英格兰在重新夺回丹麦法区后经历了一段长期的和平时期。
However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,然而，到了991年，埃塞尔雷德面对了一支规模超过一个世纪前古斯鲁姆以来任何维京舰队的维京舰队。,然而，991年，埃塞尔雷德面对的维京舰队规模之大，超过了自一个世纪前古斯鲁姆以来的任何一次。
"This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.",这支舰队由奥拉夫·特里格瓦松率领，他是一名挪威人，企图将自己的国家从丹麦统治下夺回。,这支舰队由奥拉夫·特里维松领导，他是一位有志于从丹麦统治下夺回祖国的挪威人。
"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.",在经历了最初的军事挫折后，埃塞尔雷德与奥拉夫达成了协议。奥拉夫随后返回挪威，试图夺回自己的王国，但结果喜忧参半。,在初期军事失利后，埃塞尔雷德能够与奥拉夫达成协议，奥拉夫返回挪威试图夺回王国，但成效参差不齐。
Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).,韩文字母是目前唯一被专门创造并广泛用于日常生活的字母系统。该字母于1444年世宗大王（1418—1450年）统治时期发明。,"한글은 유일한 의도적으로 발명된 알파벳으로, 일상적인 사용이 일반적입니다. 이 알파벳은 1444년에 세종대왕(1418년~1450년)의 재위 시기에 발명되었습니다.
韩文是唯一一种被有意创造并广泛用于日常生活的字母表。这种字母表是在1444年，世宗大王（1418年－1450年在位）统治期间发明的。"
King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.,世宗大王是朝鲜王朝第四代君主，也是朝鲜历史上最受尊敬的君主之一。,朝鲜王朝第四代君主世宗大王是备受尊崇的君主之一。
"He originally named the Hangeul alphabet Hunmin Jeongeum, which means ""the correct sounds for the instruction of the people"".",他最初将韩文字母命名为“训民正音”，意为“教导百姓的正确声音”。,"他最初将韩文称为“ Hunmin Jeongeum ”，意为“指导民众的正确发音”。
他最初将韩文称为“Hunmin Jeongeum”，意为“指导民众的正确发音”。"
There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.,关于梵语的起源有许多理论，其中一种认为雅利安人从西方迁徙到印度，并将他们的语言带到了那里。,印度有很多关于梵语起源的理论。其中一种理论认为，有一群雅利安人从西方迁移到印度，并将他们的语言带到了那里。
Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.,梵语是一种古老语言，可与欧洲使用的拉丁语相媲美。,梵语是一种古老的语言，与欧洲使用的拉丁语相当。
"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.",世界上已知最早的书籍是用梵文写成的。《奥义书》编纂完成后，梵语因社会等级制度的影响逐渐衰落。,世界上已知最早的书籍是用梵文写的。在《奥义书》编纂之后，梵文由于等级制度而逐渐衰落。
"Sanskrit is a very complex and rich language, which has served to be the source for many modern Indian languages, just like Latin is the source for European languages like French and Spanish.",梵语是一种极其复杂且丰富的语言，是许多现代印度语言的源头，就像拉丁语是法语、西班牙语等欧洲语言的源头一样。,梵语是一种非常复杂而丰富的语言，它已成为许多现代印度语言的源头，就像拉丁语是法语和西班牙语等欧洲语言的源头一样。
"With the battle for France over, Germany began to get ready to invade the island of Britain.",随着法国战役结束，德国开始准备入侵不列颠岛。,法国战役结束后，德国开始准备入侵英国岛屿。
"Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.",德国将这次进攻代号命名为“海狮行动”。英国军队从敦刻尔克撤退时丢失了大部分重型武器和补给，因此军队实力相当薄弱。,德国将此次攻击代号为“海狮行动”。英军大部分重型武器和物资在敦刻尔克撤退时已损失，因此军队实力相当薄弱。
But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.,但皇家海军仍远强于德国海军（“Kriegsmarine”），并且本可以摧毁任何派遣穿越英吉利海峡的入侵舰队。,但英国皇家海军仍远强于德国海军（“战争海军”），足以摧毁任何穿越英吉利海峡的入侵舰队。
"However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.",然而，由于海军将领担心舰艇会遭到德国空袭击沉，部署在可能入侵路线附近的皇家海军舰艇非常少。,然而，由于海军上将们担心会被德国空袭击沉，非常少的皇家海军舰船部署在可能的入侵路线附近。
"Let's start with an explanation about Italy's plans. Italy was mainly the ""little brother"" of Germany and Japan.",让我们先解释一下意大利的计划。意大利主要是德国和日本的“小兄弟”。,让我们从对意大利计划的解释开始。意大利主要是德国和日本的“小兄弟”。
"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.",意大利的陆军和海军实力都较弱，尽管它在战争开始前不久刚建造了四艘新舰艇。,它拥有较弱的陆军和海军，尽管他们在战争开始前刚刚建造了四艘新船。
"Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.",意大利的主要目标是非洲国家。为了占领这些国家，他们需要一个出兵基地，以便军队能够横渡地中海并入侵非洲。,意大利的主要目标是非洲国家。为了占领这些国家，他们需要有一个军队出发地，以便部队能够横渡地中海并入侵非洲。
"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else.",为此，他们必须清除英国在埃及的基地和舰船。除此之外，意大利的战舰并不应该执行其他任务。,因此，他们必须清除埃及的英国基地和舰船。此外，意大利战列舰还应做其他任何事情。
"Now for Japan. Japan was an island country, just like Britain.",现在来看日本。日本和英国一样，也是一个岛国。,现在讲讲日本。日本是一个岛国，就像英国一样。
"Submarines are ships designed to travel underwater, and remain there for an extended amount of time.",潜艇是一种用于水下航行并能在水下长时间停留的船只。,核潜艇是设计用于在水下航行并在水下停留较长时间的舰船。
Submarines were used in World War I and World War II. Back then they were very slow and had a very limited shooting range.,潜艇曾被用于第一次世界大战和第二次世界大战。当时的潜艇速度很慢，攻击射程也非常有限。,核潜艇曾在第一次世界大战和第二次世界大战中被使用。当时它们速度很慢，射程也非常有限。
"In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.",战争初期，潜艇大多在海面上航行，但随着雷达技术的发展和精确度提高，潜艇被迫潜入水下以避免被发现。,战争初期，他们主要在海面上航行，但随着雷达技术的发展和精度提高，潜艇被迫下潜以避免被发现。
German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.,德国潜艇被称为U型潜艇。德国人在导航和操控潜艇方面非常擅长。,德国的潜艇被称为U型潜艇。德国人在潜艇的导航和操作方面非常擅长。
"Because of their success with submarines, after the war Germans aren't trusted to have many of them.",由于德国人在潜艇作战方面取得的成功，战后德国不被允许拥有大量潜艇。,由于他们在潜艇方面的成功，战后德国人不被信任拥有许多潜艇。
"Yes! King Tutankhamun, sometimes referred to as ""King Tut"" or ""The Boy King"", is one of the most well known ancient Egyptian kings in modern times.",是的！图坦卡蒙国王，有时被称为“图特王”或“少年国王”，是现代最著名的古埃及国王之一。,是的！图坦卡蒙法老，有时被称为“图坦王”或“少年法老”，是现代最著名的古埃及国王之一。
"Interestingly, he was not considered to be very important in ancient times and was not recorded on most ancient king lists.",有趣的是，他在古代并不被认为十分重要，也没有被记录在大多数古代国王名录中。,有趣的是，他在古代并不被认为很重要，大多数古代王表中也没有他的记载。
"However, the discovery of his tomb in 1922 made him a celebrity. While many tombs of the past were robbed, this tomb was left virtually undisturbed.",然而，1922年他的陵墓被发现后，他成为了名人。许多古代陵墓曾遭盗掘，而他的陵墓几乎完好无损。,然而，1922年他的墓穴被发现，使他成为名人。虽然许多过去的墓穴被洗劫一空，但这座墓穴几乎未被扰乱。
"Most of the items buried with Tutankhamun have been well preserved, including thousands of artefacts made from precious metals and rare stones.",图坦卡蒙墓中的大部分陪葬品都保存完好，其中包括数千件由贵金属和稀有宝石制成的文物。,"用户指令是让我将一段英文翻译成中文，而且有很多规则要遵守。首先，我需要仔细阅读用户提供的英文句子，确保理解其含义。句子是：“Most of the items buried with Tutankhamun have been well preserved, including thousands of artefacts made from precious metals and rare stones.”
接下来，我要按照规则来翻译。用户强调只输出翻译，不添加任何解释或注释，所以必须确保翻译准确且自然。首先处理专有名词“Tutankhamun”，这在中文中通常翻译为“图坦卡蒙”，所以直接使用这个译名。
然后看句子结构，“Most of the items buried with Tutankhamun have been well preserved” 这部分需要准确传达“大部分随图坦卡蒙一同埋葬的物品都保存得很好”。这里要注意动词“have been well preserved”的时态和被动语态，中文中可以用“保存得相当完好”来表达。
接下来是“including thousands of artefacts made from precious metals and rare stones.” 这里“including”表示包括，后面列举的是“数千件由贵金属和稀有宝石制成的文物”。需要确保“artefacts”翻译为“文物”或“器物”，"
