src,ref,hyp
第一次經濟改革係喺鄧小平領導下推行。,The first economic reforms were made under the leadership of Deng Xiaoping.,The first economic reform was implemented under Deng Xiaoping's leadership.
由嗰時起，中國嘅經濟規模增長咗九十倍。,"Since then, China's economic size has grown by 90 times.","From that time on, China's economic scale grew ninety times."
舊年，中國首次出口多過德國嘅汽車數量，並超越美國成為全球最大嘅汽車市場。,"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.","In the previous year, China exported more cars than Germany for the first time, and surpassed the United States to become the world's largest car market."
中國嘅GDP可能會喺二十年內超越美國。,China's GDP could be larger than the United States within two decades.,China's GDP may surpass that of the United States within twenty years.
熱帶風暴丹妮爾喺大西洋東部形成，係2010年大西洋颶風季第四個獲命名嘅風暴。,"Tropical Storm Danielle, fourth named storm of the 2010 Atlantic hurricane season, has formed in the eastern Atlantic Ocean.",Tropical Storm Danielle formed in the eastern Atlantic and was the fourth named storm of the 2010 Atlantic hurricane season.
呢場風暴位於距離佛羅里達州邁阿密大約3000英里嘅位置，最大持續風速達到每小時40英里（64公里）。,"The storm, located approximately 3,000 miles from Miami, Florida, has maximum sustained winds of 40 mph (64 kph).","The storm is located approximately 3000 miles away from Miami, Florida, with maximum sustained winds reaching 40 miles per hour (64 kilometers per hour)."
美國國家颶風中心嘅科學家預測，丹妮爾會喺星期三前增強成為颶風。,Scientists at the National Hurricane Center predict that Danielle will strengthen to a hurricane by Wednesday.,Scientists at the National Hurricane Center predict that Danielle will strengthen into a hurricane before Wednesday.
由於風暴距離登陸地點仍然很遠，目前仍難以評估佢對美國或加勒比地區可能造成嘅影響。,"As the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean.","Because the storm is still far from the landfall location, it is currently difficult to assess the potential impact on the United States or the Caribbean region."
博貝克出生於克羅地亞首都薩格勒布，效力貝爾格萊德游擊隊期間開始成名。,"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.","Bobic was born in Zagreb, the capital of Croatia, and began to gain fame while playing for the Belgrade游击队."
佢喺1945年加入球隊，一直效力到1958年。,He joined them in 1945 and stayed until 1958.,He joined the team in 1945 and remained with it until 1958.
效力球隊期間，佢出場468次，攻入403球。,"During his time with the team, he scored 403 goals in 468 appearances.","During his time with the team, he made 468 appearances and scored 403 goals."
從未有其他球員喺呢間球會嘅出場次數或入球數超越博貝克。,No one else has ever made more appearances or scored more goals for the club than Bobek.,No other player has surpassed Bobo in terms of appearances or goals scored for this club.
1995年，佢獲選為游擊隊歷史上最佳球員。,In 1995 he was voted the best player in Partizan's history.,"In 1995, he was selected as the best player in the history of the guerrilla team."
慶祝活動由世界聞名嘅太陽馬戲團帶來嘅特別表演揭開序幕。,The celebrations started with a special show by the world-renowned group Cirque du Soleil.,The celebration was opened with a special performance by the world-renowned Cirque du Soleil.
之後登場嘅有伊斯坦堡國家交響樂團、土耳其禁衛軍樂隊，以及歌手Fatih Erkoç同Müslüm Gürses。,"It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.","The later performers included the Istanbul State Symphony Orchestra, the Turkish Janissary Band, and singers Fatih Erkoç and Müslüm Gürses."
接住，旋轉托缽僧登上舞台表演。,Then Whirling Dervishes took to the stage.,"Catch it, the rotating pot-bellied monk takes the stage for performance."
土耳其天后Sezen Aksu與意大利男高音Alessandro Safina及希臘歌手Haris Alexiou一同演出。,Turkish diva Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou.,Turkish diva Sezen Aksu performed with Italian tenor Alessandro Safina and Greek singer Haris Alexiou.
最後，土耳其舞蹈團Fire of Anatolia表演《特洛伊》作為壓軸。,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","Finally, the Turkish dance group Fire of Anatolia performed ""Troy"" as the closing act."
13歲電單車賽車手彼得·倫茨喺印第安納波利斯賽車場發生撞車事故後死亡。,"Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway.",13-year-old motorcycle racer Peter Lenz died after a collision accident at the Indianapolis Motor Speedway.
倫茨進行熱身圈期間從電單車上跌落，之後被另一名車手Xavier Zayat撞到。,"While on his warm-up lap, Lenz fell off his bike, and was then struck by fellow racer Xavier Zayat.","Lentz fell off a motorcycle during warm-up laps and was later struck by another rider, Xavier Zayat."
賽道上嘅醫護人員即時為佢提供救治，並將佢送往當地醫院，其後傷重不治。,He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.,"Medical personnel on the track provided immediate treatment and transported him to a local hospital, after which he succumbed to his injuries."
扎亞特喺呢宗意外中冇受傷。,Zayat was unhurt in the accident.,Zayat was not injured in the accident.
薩帕特羅談到全球金融形勢時繼續表示：「金融體系係經濟嘅一部分，而且係非常關鍵嘅一部分。」,"Regarding the global financial situation, Zapatero continued by saying that ""the financial system is a part of the economy, a crucial part.","Sapatero continued to say when talking about the global financial situation: ""The financial system is part of the economy, and it is a very critical part."""
我哋經歷緊一場已持續一年的金融危機，而過去兩個月係危機最嚴峻嘅時期。我認為金融市場而家開始逐漸復甦。」,"We have a year-long financial crisis, which has had its most acute moment in the past two months, and I think now the financial markets are beginning to recover.""","We have been experiencing a financial crisis that has lasted for a year, and the past two months have been the most severe period of the crisis. I believe that the financial markets are now beginning to gradually recover."
上星期，Naked News宣布會大幅擴展其國際語言新聞報道服務，並推出三個新嘅廣播節目。,"Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.","Last week, Naked News announced a significant expansion of its international language news reporting service and the launch of three new radio programs."
呢個全球性組織目前已經以英文同日文報道新聞，而家正為電視、網站同流動裝置推出西班牙文、意大利文同韓文節目。,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","This global organization has already been reporting news in English and Japanese, and is now launching programs in Spanish, Italian, and Korean for television, websites, and mobile devices."
「好彩我冇事，不過我見到一幕令人毛骨悚然嘅場面，當時啲人試圖打破窗戶逃出去。」,"Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.","I'm glad I'm okay, but I saw a terrifying scene. People were trying to break the windows to escape."
啲人用椅撞擊玻璃，但啲窗戶點撞都打唔爛。,"People were hitting the panes with chairs, but the windows were unbreakable.","People used chairs to hit the glass, but the windows couldn't be broken no matter how hard they hit."
生還者Franciszek Kowal話：「最後有一塊玻璃碎咗，佢哋開始由窗戶爬出去。」,"One of the panes finally broke, and they started to get out by the window,"" said survivor Franciszek Kowal.","Survivor Franciszek Kowal said: ""Finally, a piece of glass broke, and they started climbing out through the windows."""
恆星會發出光同熱，係因為氫原子融合（即係核聚變）形成較重元素時，會釋放出能量。,Stars give off light and heat because of the energy made when hydrogen atoms are merged (or fused) together to form heavier elements.,"Stars emit light and heat because when hydrogen atoms fuse (i.e., nuclear fusion) to form heavier elements, energy is released."
科學家正努力研發一種可以用同樣方式產生能量嘅反應堆。,Scientists are working to create a reactor that can make energy in the same way.,Scientists are working to develop a reactor that can generate energy in the same way.
不過，呢個問題非常難解決，仲需要好多年時間先可以建造出實用嘅聚變反應堆。,"This, however, is a very hard problem to solve and will take many years before we see useful fusion reactors built.","However, this problem is very difficult to solve and it will take many years to build a practical fusion reactor."
鋼針可以浮喺水面上，係因為表面張力嘅作用。,The steel needle floats on top of the water because of surface tension.,A steel needle can float on water due to surface tension.
表面張力嘅形成係因為水面上嘅水分子之間互相吸引嘅力量，比佢哋同上方空氣分子之間嘅吸引力更強。,Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,The formation of surface tension is due to the stronger attraction between water molecules on the surface compared to their attraction to air molecules above.
水分子會喺水面形成一層睇唔見嘅薄膜，令鋼針等物體可以浮喺水面上。,The water molecules make an invisible skin on the water’s surface that allows things like the needle to float on top of the water.,"Water molecules form an invisible film on the surface of water, allowing objects like steel needles to float on the water.
Water molecules form an invisible film on the water surface, allowing objects such as steel needles to float on the water."
現代溜冰鞋嘅冰刀有兩條刀刃，中間有一道凹槽。兩條刀刃可以令溜冰鞋即使傾斜時，仍然更好咁抓住冰面。,"The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.",Modern ice skates have two blades with a groove in the middle. The two blades allow the ice skates to grip the ice better even when tilted.
由於冰刀底部略微彎曲，當冰刀向左或向右傾斜時，接觸冰面嘅刀刃亦會跟住彎曲。,"Because the bottom of the blade is slightly curved, as the blade tilts to one side or the other, the edge which is in contact with the ice also curves.","Because the blade of the skate is slightly curved, when the skate tilts left or right, the blade in contact with the ice will also curve accordingly."
呢個情況會令溜冰者轉彎。如果溜冰鞋向右傾斜，溜冰者就會向右轉；如果溜冰鞋向左傾斜，溜冰者就會向左轉。,"This causes the skater to turn. If the skates tilt to the right, the skater turns right, if the skates tilt to the left, the skater turns left.","This situation causes the skater to turn. If the ice skate tilts to the right, the skater turns to the right; if the ice skate tilts to the left, the skater turns to the left."
為咗恢復到原本嘅能量水平，佢哋必須釋放由光所吸收嘅額外能量。,"To return to their previous energy level, they must get rid of the extra energy they got from the light.","In order to restore to their original energy level, they must release the extra energy absorbed by light."
佢哋透過發射一種稱為「光子」嘅微小光粒子來做到呢一點。,"They do this by emitting a tiny particle of light called a ""photon"".","They achieve this by emitting tiny light particles called ""photons."""
科學家將呢個過程稱為「受激輻射發射」，因為原子受到強光刺激後會發射光子，而光本身亦係一種輻射形式。,"Scientists call this process ""stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation.","Scientists refer to this process as ""stimulated emission,"" because atoms emit photons when stimulated by strong light, and light itself is also a form of radiation."
下一張圖展示原子發射光子嘅過程。當然，現實中嘅光子細小得多，遠遠唔及圖中所顯示嘅大小。,"The next picture shows the atoms emitting photons. Of course, in reality photons are a lot smaller than those in the picture.","The next image shows the process of an atom emitting a photon. Of course, in reality, photons are much smaller and far smaller than the size shown in the image."
光子甚至比組成原子嘅物質更加細小！,Photons are even smaller than the stuff that makes up atoms!,Photons are even smaller than the matter that makes up atoms!
經過數百個鐘頭運作後，燈泡內嘅燈絲最終會燒壞，燈泡亦會停止工作。,After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.,"After hundreds of hours of operation, the filament inside the bulb will eventually burn out, and the bulb will stop working."
之後就需要更換燈泡，而更換燈泡時必須小心。,The light bulb then needs replacing. It is necessary to be careful in replacing the light bulb.,"The bulb needs to be replaced, and care must be taken when replacing it."
首先，要關閉燈具嘅開關，或者拔除電纜。,"First, the switch for the light fixture needs to be turned off or the cable disconnected.","First, turn off the light switch or unplug the cable."
因為當燈泡嘅金屬部分仍然插喺插座內時，如果你觸碰插座內部或者燈泡金屬底座，流入插座嘅電流可能會令你受到嚴重電擊。,This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,"Because if you touch the inside of the socket or the metal base of the bulb while the metal part of the bulb is still plugged into the socket, the current flowing into the socket may cause you a severe electric shock."
循環系統嘅主要器官係心臟，負責將血液泵送到全身。,"The major organ of the circulatory system is the heart, which pumps the blood.","The main organ of the circulatory system is the heart, which is responsible for pumping blood throughout the body."
血液經由稱為動脈嘅血管離開心臟，再經由稱為靜脈嘅血管流返去心臟。最細嘅血管叫做毛細血管。,Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.,"Blood is carried away from the heart through blood vessels called arteries, and then returns to the heart through blood vessels called veins. The smallest blood vessels are called capillaries."
三角龍嘅牙齒唔單止可以咬碎樹葉，甚至可以咬碎非常堅硬嘅樹枝同樹根。,A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.,The triceratops' teeth could not only crush leaves but also break very hard branches and roots.
有啲科學家認為三角龍會食蘇鐵，而蘇鐵係白堊紀時期常見嘅一類植物。,"Some scientists think Triceratops ate cycads, which are a type of plant that was common in the Cretaceous.","Some scientists believe that triceratops ate cycads, which were a common type of plant during the Cretaceous period."
呢啲植物外形似一棵細小嘅棕櫚樹，頂部長有一簇尖銳帶刺嘅葉。,"These plants look like a small palm tree with a crown of sharp, spiky leaves.","These plants resemble small palms, with a cluster of sharp, spiky leaves at the top."
三角龍可能會用佢強而有力嘅喙剝走葉子，然後先食樹幹。,A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,"Triceratops may use its strong beak to peel leaves, then eat the tree trunk.
Triceratops may use its strong beak to peel leaves and then eat the tree trunk."
其他科學家認為呢啲植物含有劇毒，因此恐怕冇恐龍會食佢哋，雖然而家嘅樹懶以及鸚鵡等動物（鸚鵡係恐龍嘅後代）可以食用有毒嘅葉子或果實。,"Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.","Other scientists believe these plants are highly toxic, so they fear that no dinosaurs would eat them. However, modern sloths and parrots (parrots are descendants of dinosaurs) can eat toxic leaves or fruits."
木衛一嘅重力會對我產生點樣嘅拉力？如果你企喺木衛一表面，你嘅重量會比喺地球上輕。,"How would Io's gravity pull on me? If you stood on the surface of Io, you would weigh less than you do on Earth.","What is the gravitational pull of Io like? If you stand on the surface of Io, your weight would be lighter than on Earth."
一個喺地球上重200磅（90公斤）嘅人，喺木衛一上面大約只重36磅（16公斤）。所以，木衛一嘅重力對你嘅拉力自然較弱。,"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you.","A person who weighs 200 pounds (90 kilograms) on Earth would weigh about 36 pounds (16 kilograms) on Io. Therefore, the gravity of Io exerts a weaker pull on you."
太陽唔似地球咁有一層可以企立嘅地殼，整個太陽都由氣體、等離子體同高溫物質組成。,"The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.","The Sun does not have a crust like Earth that can stand upright, and the entire Sun is composed of gas, plasma, and high-temperature materials."
距離太陽中心越遠，氣體就會變得越稀薄。,The gas becomes thinner as you go farther from the center of the Sun.,"The farther away from the sun's center, the thinner the gas becomes."
我哋望太陽時見到嘅外層部分稱為「光球層」，意思係「光之球體」。,"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".","When we look at the Sun, the outermost layer we see is called the ""photosphere,"" meaning ""sphere of light."""
大約三千年後，即1610年，意大利天文學家伽利略·伽利萊利用望遠鏡觀察到金星同月球一樣具有盈虧變化。,"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.","About three thousand years later, in 1610, the Italian astronomer Galileo Galilei observed that Venus, like the Moon, has phases using a telescope."
盈虧現象係因為金星（或月球）只有面向太陽嘅一面受到光照而形成。金星嘅盈虧現象支持咗哥白尼提出嘅行星繞太陽運行理論。,Phases happen because only the side of Venus (or of the Moon) facing the Sun is lighted. The phases of Venus supported the theory of Copernicus that the planets go around the Sun.,The phenomenon of phases is caused by the fact that Venus (or the Moon) is only illuminated on the side facing the Sun. The phases of Venus support the theory proposed by Copernicus that planets revolve around the Sun.
幾年後嘅1639年，英國天文學家傑里邁亞·霍羅克斯觀測到一次金星凌日現象。,"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.","In 1639, several years later, the English astronomer Jeremiah Horrocks observed a transit of Venus."
英格蘭喺重新征服丹麥法區之後，經歷咗一段長時間嘅和平時期。,England had experienced a long period of peace after the reconquest of the Danelaw.,"After the reconquest of the Danish March, England experienced a long period of peace."
不過，喺991年，埃塞爾雷德面對一支規模比一個世紀前古特魯姆時期以來任何維京艦隊都更大嘅艦隊。,However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,"However, in 991, Æthelred faced a fleet larger than any Viking fleet since the time of Guthrum a century earlier."
呢支艦隊由挪威人奧拉夫·特里格瓦森率領，佢希望從丹麥統治之下重新奪回自己嘅國家。,"This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.","This fleet was led by Olaf Trygvason, a Norwegian, who hoped to reclaim his country from Danish rule."
經歷最初嘅軍事挫敗後，埃塞爾雷德成功同奧拉夫達成協議；奧拉夫之後返回挪威，試圖奪回自己嘅王國，但結果有成功亦有失敗。,"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.","After initial military defeats, Æthelred successfully negotiated with Olaf; Olaf then returned to Norway, attempting to reclaim his kingdom, but the outcome was a mix of successes and failures."
韓文（諺文）係唯一一種專門創造出嚟並且至今廣泛應用於日常生活嘅字母系統。呢套字母於1444年世宗大王（1418–1450年）統治期間被創造。,Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).,Hangul is the only alphabetic writing system that was specifically created and has been widely used in daily life to this day. This alphabet was created during the reign of King Sejong (1418–1450) in 1444.
世宗大王係朝鮮王朝第四任國王，亦係朝鮮歷史上最受尊崇嘅君主之一。,King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.,King Sejong was the fourth king of the Joseon Dynasty and one of the most revered monarchs in Korean history.
佢最初將諺文命名為「訓民正音」，意思係「教導人民嘅正確聲音」。,"He originally named the Hangeul alphabet Hunmin Jeongeum, which means ""the correct sounds for the instruction of the people"".","He initially named the Hangul as ""Hunminjeongyeom,"" meaning ""the correct sounds to teach the people."""
關於梵語嘅起源有好多種理論，其中一種認為雅利安人由西方向印度遷徙時，帶埋佢哋嘅語言一同傳入。,There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.,"There are many theories about the origin of Sanskrit, one of which suggests that when the Aryans migrated to India from the west, they brought their language with them."
梵語係一種古老語言，可以同歐洲嘅拉丁語相提並論。,Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.,Sanskrit is an ancient language that can be compared to the European Latin.
世界上已知最早嘅書籍係用梵語寫成。喺《奧義書》編纂完成後，梵語因為社會等級制度嘅影響而逐漸衰落。,"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.","The earliest known books in the world were written in Sanskrit. After the compilation of the Upanishads, Sanskrit gradually declined due to the influence of the social hierarchy system."
梵語係一種非常複雜而豐富嘅語言，係好多現代印度語言嘅源頭，就好似拉丁語係法文、西班牙文等歐洲語言嘅來源一樣。,"Sanskrit is a very complex and rich language, which has served to be the source for many modern Indian languages, just like Latin is the source for European languages like French and Spanish.","Sanskrit is a very complex and rich language, the source of many modern Indian languages, just as Latin is the source of French, Spanish and other European languages."
隨住法國戰役結束，德國開始準備入侵不列顛島。,"With the battle for France over, Germany began to get ready to invade the island of Britain.","With the conclusion of the Battle of France, Germany began preparing for an invasion of the British Isles."
德國將呢次攻擊命名為「海獅行動」。英國陸軍喺敦刻爾克撤退期間失去咗大部分重型武器同補給，因此軍隊相當薄弱。,"Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.","The German named this attack ""Operation Sealion."" During the Dunkirk evacuation, the British Army lost most of its heavy weapons and supplies, leaving the military forces significantly weakened."
但皇家海軍仍然遠比德國海軍（Kriegsmarine）強大，足以摧毀任何穿越英吉利海峽嘅入侵艦隊。,But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.,"But the Royal Navy was still far stronger than the German Navy (Kriegsmarine), sufficient to destroy any invading fleet attempting to cross the English Channel."
不過，由於海軍將領擔心艦艇會被德國空襲擊沉，所以只有極少數皇家海軍艦艇駐紮喺可能嘅入侵航線附近。,"However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.","However, due to concerns by naval officers that ships might be sunk by German air raids, only a few Royal Navy vessels were stationed near the possible invasion routes."
我哋先講解一下意大利嘅計劃。意大利主要係德國同日本嘅「小弟」。,"Let's start with an explanation about Italy's plans. Italy was mainly the ""little brother"" of Germany and Japan.",We will first explain Italy's plan. Italy is mainly the 'younger brother' of Germany and Japan.
雖然意大利喺戰爭開始前剛剛建造咗四艘新軍艦，但佢嘅陸軍同海軍實力仍然較弱。,"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.","Although Italy had just built four new warships before the war began, its army and navy were still relatively weak."
意大利嘅主要目標係非洲國家。為咗攻佔呢啲國家，佢哋需要一個軍隊出發基地，方便部隊橫渡地中海並入侵非洲。,"Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.","Italy's main objective was African countries. In order to occupy these countries, they needed a military departure base to facilitate the crossing of the Mediterranean Sea and the invasion of Africa."
為此，佢哋必須清除英國喺埃及嘅基地同艦艇。除咗呢啲行動之外，意大利嘅戰艦並冇計劃執行其他任務。,"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else.","For this, they must clear the British bases and warships in Egypt. In addition to these actions, the Italian warships had no plan to carry out other tasks."
而家講下日本。日本同英國一樣，都係一個島國。,"Now for Japan. Japan was an island country, just like Britain.","Now talking about Japan. Japan, like the UK, is an island country."
潛艇係一種專門設計用嚟喺水下航行，並且可以長時間停留喺水中嘅船隻。,"Submarines are ships designed to travel underwater, and remain there for an extended amount of time.",A submarine is a specially designed vessel for underwater navigation and can remain submerged in water for extended periods.
潛艇喺第一次世界大戰同第二次世界大戰期間都有使用。當時嘅潛艇速度非常慢，而且攻擊射程十分有限。,Submarines were used in World War I and World War II. Back then they were very slow and had a very limited shooting range.,"Submarines were used during both World War I and World War II. At that time, submarines were very slow and had very limited attack range."
戰爭初期，潛艇主要喺海面航行，但隨住雷達技術發展並變得更加精確，潛艇被迫潛入水下，以避免被發現。,"In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.","In the early stages of the war, submarines mainly operated on the surface, but as radar technology developed and became more accurate, submarines were forced to submerge to avoid detection."
德國潛艇被稱為U艇。德國人在操控同導航潛艇方面非常出色。,German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.,German submarines are called U-boats. Germans are very skilled in handling and navigating submarines.
由於德國喺潛艇作戰方面取得巨大成功，戰後其他國家並唔信任德國擁有大量潛艇。,"Because of their success with submarines, after the war Germans aren't trusted to have many of them.","Because of Germany's great success in submarine warfare, after the war other countries did not trust Germany to have a large number of submarines."
冇錯！圖坦卡門國王，有時亦被稱為「圖特王」或者「少年法老」，係現代最著名嘅古埃及國王之一。,"Yes! King Tutankhamun, sometimes referred to as ""King Tut"" or ""The Boy King"", is one of the most well known ancient Egyptian kings in modern times.","Correct! Pharaoh Tutankhamun, also known as ""Tut"" or ""the boy king,"" is one of the most famous ancient Egyptian kings of modern times."
有趣嘅係，佢喺古代並唔被視為重要人物，而且大部分古代國王名錄都冇記載佢。,"Interestingly, he was not considered to be very important in ancient times and was not recorded on most ancient king lists.","It is interesting that he was not considered an important figure in ancient times, and most ancient king lists did not record him."
不過，1922年佢嘅陵墓被發現後，令佢成為家喻戶曉嘅人物。雖然過去好多陵墓都曾經被盜，但呢座陵墓幾乎完全未受破壞。,"However, the discovery of his tomb in 1922 made him a celebrity. While many tombs of the past were robbed, this tomb was left virtually undisturbed.","However, after his tomb was discovered in 1922, he became a well-known figure. Although many tombs had been looted in the past, this tomb remained almost undisturbed."
