id,direction,quality_tier,source_text,reference_text,candidate_text,source_dataset,source_example_id,license,retrieval_date,dedup_check,Semantic_Accuracy,Fluency,Tone_Register,Emotional_Consistency,Cultural_Appropriateness,Dialect_Correctness,Overall_Comments
s52_taskA_00020,en2cmn,clean,They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.,"主唱史蒂芬·泰勒在 8 月 5 日的演出中从舞台跌落受伤,随后乐队取消了这次巡演。",他们取消了巡回演唱会 因为前唱片公司主唱史蒂文・泰勒在8月5日晚上跳舞时摔下舞台,facebook/flores,flores200_devtest_226,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00021,en2cmn,clean,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,在哈尔达斯维克村 (Haldarsvík) 可以欣赏附近依斯特洛伊岛 (Eysturoy) 的美景。村中有一个与众不同的八角形教堂。,"哈尔德斯维克村位于埃斯特图尔岛附近,有一个独特的十字形教堂",facebook/flores,flores200_devtest_945,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00022,en2cmn,clean,"The truck driver, who is aged 64, was not injured in the crash.",这位 64 岁的卡车司机在车祸中没有受伤。,"车夫,64岁的老人,没有受伤",facebook/flores,flores200_devtest_123,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00023,en2cmn,clean,"The main Amazon River is 6,387 km (3,980 miles). It collects water from thousands of smaller rivers.",亚马孙河干流长 6387 公里(3980 英里)。河水来自数千条较小的支流。,"亚马逊河是6,387公里,它汇集了许多小河。",facebook/flores,flores200_devtest_628,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00024,en2cmn,clean,Japanese work culture is more hierarchical and formal that what Westerners may be used to.,"与西方人习惯的工作文化相比,日本人的工作文化中等级制度更明显,更加正式。","日本的工作文化比西方人可能更有层次,更正式。",facebook/flores,flores200_devtest_1008,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00025,en2cmn,clean,Segregation and recombination shuffle variation back and forth between the two pools with each generation.,"由于分离和重组,变异在每一代的两个库之间来回变动。",分化和重复的交叉是两种不同的方法。,facebook/flores,flores200_devtest_527,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00026,en2cmn,clean,"Spokesman for Medecines Sans Frontiere Richard Veerman said: ""Angola is heading for its worst ever outbreak and the situation remains very bad in Angola,"" he said.","无国界医生组织的发言人理查德·维尔曼 (Richard Veerman) 说:“安哥拉正面临有史以来最严重的疫情,当地的局势仍然非常糟糕。”","安哥拉的前线医生理查德・维曼说: ""安哥拉正在发病情最严重的时期,现况非常糟糕。""",facebook/flores,flores200_devtest_151,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00027,en2cmn,clean,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,"这些理论研究为什么某些人想要做他们所做的事情,以及他们所处的环境中哪些事情会让他们做或不做某些事情。","这些理论研究了人们对某些人而言,他们的行为和他们的环境会导致他们做或不做某些事。",facebook/flores,flores200_devtest_656,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00028,en2cmn,clean,"These relationships help in planning, design, and operations of roadway facilities.",这些关系对道路设施的规划、设计和运营有帮助。,这些关系有助于规划、设计和运营道路设施。,facebook/flores,flores200_devtest_617,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00029,en2cmn,clean,Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.,"警察局长钱德拉·谢卡尔·索兰基说,被告人出庭时都蒙住了脸。",警局长查andra·舍克拉·苏纳基说被告戴着面具来到法庭。,facebook/flores,flores200_devtest_280,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00030,en2cmn,clean,"Elements like calcium and potassium are considered metals. Of course, there are also metals like silver and gold.","钙、钾等元素属于金属,银和金等元素当然也是金属。","元素如钨和钛是金属。当然,还有金和银。",facebook/flores,flores200_devtest_639,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00031,en2cmn,clean,Subcultures bring together like-minded individuals who feel neglected by societal standards and allow them to develop a sense of identity.,"亚文化让志同道合的个人团结起来,这些人感到自己被社会标准所忽视,亚文化在他们之间培养出一种认同感。","文化圈是那些同感的人聚集在一起,并且通过这种方式来建立自己的身份。",facebook/flores,flores200_devtest_499,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00032,en2cmn,clean,"The Kruger National Park (KNP) lies in the north-east of South Africa and runs along the border of Mozambique in the east, Zimbabwe in the north, and the southern border is the Crocodile River.","克鲁格国家公园 (KNP) 位于南非东北部,东部与莫桑比克接壤,北部与津巴布韦接壤,南部以鳄鱼河 (Crocodile River) 为边境。","克鲁克国家公园位于南非东部,东接莫桑比亚,西接茅斯威茅斯和南接克罗克利河。",facebook/flores,flores200_devtest_722,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00033,en2cmn,clean,But the consumer market on laptop computer will be radically varied and changed after ASUS was awarded in the 2007 Taiwan Sustainable Award by Executive Yuan of the Republic of China.,"但在华硕获得台湾行政院颁发的 2007 年台湾永续发展奖后,笔记本电脑的消费市场将发生根本性的变化。","但在笔记本电脑的消费市场上,ASUS 在2007年台湾环境保护奖项的评选中获奖。",facebook/flores,flores200_devtest_168,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00034,en2cmn,clean,"Thousands of years ago, a man called Aristarchus said that the Solar System moved around the Sun.","几千年前,一个叫阿里斯塔克斯的人曾说,太阳系围绕着太阳旋转。",古人阿里斯泰尔说太阳系周围有一个星球,facebook/flores,flores200_devtest_622,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00035,en2cmn,clean,They often have more autonomy than conventional team members as their teams may meet according to varying time zones which may not be understood by their local management.,"他们往往比传统的团队成员拥有更多的自主权,因为他们的团队可能会针对不同的时区安排开会时间,而本地管理层可能不理解这一点。","他们的团队经常比传统的团队成员更有自主权,因为他们的团队可能会根据不同时区来合作,而管理层可能不理解。",facebook/flores,flores200_devtest_665,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00036,en2cmn,clean,"The main letters to watch out for are c and g, since their pronunciation varies based on the following vowel.","需要注意的主要字母是 c 和 g,因为它们的发音是根据以下元音变化的。","要注意的字母是C和G,因为它们的发音取决于接下来发音的前后字母。",facebook/flores,flores200_devtest_976,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00037,en2cmn,clean,Scientists say the explosion caused by the collision was massive.,"科学家表示,这次碰撞引起的爆炸规模巨大。",科学家们说爆炸的原因是巨大的。,facebook/flores,flores200_devtest_103,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00038,en2cmn,clean,"It isn’t alone though, experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses, asking questions, and making observations also guide scientific research.","实验是一种用来消除一个或多个可能性假设的试验,不过,实验并不是唯一的方法。提出问题及进行观察也可以指导科学研究。","实验是研究的工具,它可以用来排除或确认某些假设,问问题,做观察等。",facebook/flores,flores200_devtest_592,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00039,en2cmn,clean,"Regional and seasonal severe weather phenomena include blizzards, snowstorms, ice storms, and dust storms.",区域性和季节性的恶劣天气现象包括暴风雪、雪暴、冰暴和沙尘暴等。,"地区和季节的严重天气现象包括雪storm,雪崩,冰雹和沙尘暴。",facebook/flores,flores200_devtest_876,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00040,en2cmn,clean,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"它指出,对主体来说最有效的位置是将图像垂直和水平分为三部分的线的交叉点(见示例)。",它说最有效的位置是垂直和水平两边的三角分割的中点。,facebook/flores,flores200_devtest_436,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00041,en2cmn,domain,"""The special thing about being team captain is that it was voted for by the other members of the team, so that it was such a huge honour anyway but to know that your teammates have voted for you and chosen you made it extra-special for me,"" she added.","“成为国家队队长的特别之处在于它是由国家队的其他队员投票选出的。因此,知道你的队友投票选你去争取极为不寻常的成就,无论如何,对我来说,这都是很大的荣幸”,她补充道。","作为队长的特殊之处是,选举是由其他成员选的,所以选举得很荣誉,但又是因为队友选了你,所以选举得更为特殊。",wmt/wmt19,wmt19_newstest_134,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00042,en2cmn,domain,"Yang Yanyin, Director of the Subcommittee of Hong Kong, Macao and Taiwan Compatriots and overseas Chinese individuals, delivered a congratulatory message on behalf of the Chinese units affiliated to the Central Government.",全国政协港澳台侨委员会主任杨衍银代表中央涉侨单位致贺词。,杨燕欣代表香港、澳门、台湾的中国同胞和海外华人代表致辞,wmt/wmt19,wmt19_newstest_509,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00043,en2cmn,domain,We will work closely for cooperation within multilateral frameworks such as the Shanghai Cooperation Organization to help seeking advancement while stabilizing cooperation in the region,"密切在上海合作组织等多边框架内的合作, 共同助力地区合作稳中求进","我们要密切合作在多边框架内的合作机制中,帮助寻求发展,稳定在地区的合作",wmt/wmt19,wmt19_newstest_344,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00044,en2cmn,domain,He's a keen advocate of this game and is proud of his achievement here.,"他是此次比赛的热衷拥护者,也对在这里取得成就感到十分自豪。","他是这个游戏的热心拥护者,他很骄傲地展示了他的成就",wmt/wmt19,wmt19_newstest_206,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00045,en2cmn,domain,"For more news, visit the CCTV news website. For the download address, search CCTV News +.","更多的新闻资讯你还可以关注央视新闻移动网,下载地址可以搜索央视新闻加。","更多新闻,请访问 CCTV新闻网站。下载地址搜索 CCTV新闻+。",wmt/wmt19,wmt19_newstest_769,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00046,en2cmn,domain,comprehensively strengthen the construction of a socialist political party with Chinese characteristics and unite and lead the vast numbers of members in making a new contribution to building a moderately prosperous society in all respects and launch a new journey in building an,"全面加强中国特色社会主义参政党建设,团结带领广大成员在决胜全面建成小康社会、开启全面建设社会主义现代化国家新征程中","全面加强建设一个具有中国特色的社会主义政党,团结和带领大众在各方面的成员发挥新贡献,开创一个新的道路,奋力前进,建设一个中等发展水平的社会。",wmt/wmt19,wmt19_newstest_506,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00047,en2cmn,domain,and the spirit of struggle and dedication it carries are the spiritual impetus to our party's tenacious struggle and continuous development and growth. It is also a valuable spiritual asset for our party to establish and govern and rejuvenate the country.,"奋斗精神、奉献精神,是激励我们党顽强奋斗、不断发展壮大的精神动力,是我们党立党兴党、执政兴国的宝贵精神财富","这精神的力量是我们党的坚持不拔的精神力量,也是我们党的持续发展和成长的精神力量,也是我们党的治理和发展的精神资产。",wmt/wmt19,wmt19_newstest_865,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00048,en2cmn,domain,"At the same time, Trump also criticized that it is a mistake for Democratic members of the Senate","特朗普同时批评说,参院民主党议员","同时,特朗普也批评了民主党的参议员,说他们是错误的",wmt/wmt19,wmt19_newstest_742,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00049,en2cmn,domain,The father of our country knew something about bad press.,我们的国父了解不良媒体的作风。,我们的祖国的父亲知道了坏报纸,wmt/wmt19,wmt19_newstest_145,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00050,en2cmn,domain,"Li Keqiang said that at present, economic globalization continues to advance. A new round of scientific and technological industrial revolution has swept the globe.","李克强表示,当前经济全球化持续推进,新一轮科技和产业革命席卷全球","李克强说,目前经济全球化继续发展。科学与技术的新一轮工业革命已经遍及全球。",wmt/wmt19,wmt19_newstest_825,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00051,en2cmn,domain,Hogan's staff has blocked and deleted the posts of at least 450 people who voiced their opinions on his official Facebook page.,"霍根的职员屏蔽并删除了至少 450 人的帖子,因为他们在他的脸书官方主页上发表自己的观点。",霍恩的工作人员已经删除了至少450位在他的官方Facebook页面上发表的评论。,wmt/wmt19,wmt19_newstest_151,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00052,en2cmn,domain,"The town of some 19,000 people consists of wooden houses ringed by bamboo fencing, corrugated iron roofs transformed by rust into varying tawny shades.","在这个大约有 19,000 人的城镇里,木屋外环绕着竹栅栏,褶皱的铁皮屋顶是各类由铁锈制成的黄褐色的遮盖物。","这个村子有19,000人,它的村庄由木头的房屋环绕着,铁皮屋顶变成了黄色的,变黄的程度随着时间的推移而变化。",wmt/wmt19,wmt19_newstest_894,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00053,en2cmn,domain,"When Bardina Degei cooks dinner, she doesn't use a stove.",巴德汀娜·戴杰做饭的时候不用炉子。,"巴迪娜德格的家,她不用爐子做飯。",wmt/wmt19,wmt19_newstest_879,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00054,en2cmn,domain,"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,"你有违法的行为, 正是针对人",wmt/wmt19,wmt19_newstest_5,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00055,en2cmn,domain,"By clicking the mouse, the Judge can view the relevant evidence at any time, greatly improving the efficiency of the trial.","审判员点击鼠标,就可以随时查看相关证据,大大提高了审判效率。","点击鼠标,法官可以随时查看证据,大大提高了审判的效率。",wmt/wmt19,wmt19_newstest_548,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00056,en2cmn,domain,"Wang Huning said that the spirit of the Red Ship is the source of the Chinese revolutionary spirit, and it shows the initial intention of the Chinese Communists.","王沪宁表示,红船精神是中国革命精神之源,昭示着中国共产党人的初心","王鸣琴说红舰精神是中国革命的源泉,表明中国共产党的初衷。",wmt/wmt19,wmt19_newstest_863,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00057,en2cmn,domain,"In space, we observe that such a new observation that has not been observed before, which cannot be explained or illustrated by existing theories,","在太空当中,我们观测到以前没有观察到观察到的这样一个新的,这个用这个用已有的理论不能进行解释和说明的","在宇宙中,我们发现这样的新观测,从未被观测过,不能解释或说明现有理论。",wmt/wmt19,wmt19_newstest_698,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00058,en2cmn,domain,to work with all parties to promote the construction of a community with a shared future for mankind.,愿同各方推动构建人类命运共同体的真诚愿望,"要与各方共同努力,促进人类文明建设的城市建设。",wmt/wmt19,wmt19_newstest_272,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00059,en2cmn,domain,and unify it to the major decisions and deployments set by the 19th National Congress of the party.,统一到党的十九大确定的重大决策部署上来,和19届全国党大会的重大决策和部署统一,wmt/wmt19,wmt19_newstest_877,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00060,en2cmn,domain,"Liu Yandong, You Quan, Qiangba Puncog, Zhang Qingli,",刘延东、尤权、向巴平措、张庆黎,"刘燕东,你泉,强巴普纽尔,张青力",wmt/wmt19,wmt19_newstest_386,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00061,en2cmn,domain,has become an important platform for maintaining regional security and stability and promoting common development and prosperity.,已经成为维护地区安全稳定、促进共同发展繁荣的重要平台。,"成为一个重要的平台,维护区域安全和稳定,促进共同发展和繁荣。",wmt/wmt19,wmt19_newstest_355,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00062,en2cmn,domain,"to make a certain thing. In itself, the target choice for this task is new.","做一件新奇的事,本身来讲这个任务的目标选择就是新的。",本次任务的目标是新选择。,wmt/wmt19,wmt19_newstest_812,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00063,en2cmn,domain,"In her wooden home in Enarotali, the capital of Paniai regency in the restive Indonesian province of Papua, the housewife usually just places a sweet potato - known locally as ""nota"" - directly into the fireplace.","她的木屋位于印度尼西亚巴布亚省帕尼艾县首府埃纳罗塔利,这位家庭主妇通常只是把一个红薯——当地人称其为“nota”——直接放进火里。","在帕伊省的伊纳托利的木屋里,妇女通常直接把甜菜放在火炉上。",wmt/wmt19,wmt19_newstest_881,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00064,en2cmn,domain,Hun Sen extended warm congratulations to Xi Jinping for winning the support of the entire party and the people throughout the country and for being reelected as General Secretary of the CPC Central Committee.,洪森对习近平得到全党全国人民拥护、再次当选中共中央总书记表示热烈祝贺。,阁下祝贺习近平在全党和人民心中得到的支持。,wmt/wmt19,wmt19_newstest_333,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00065,en2cmn,domain,Data showed that the aggregate output value of Guizhou Province for the first to the third quarters of 2017 amounted to RMB950 billion. Maotai’s market capitalization far outstripped Guizhou Province’s GDP for the first three quarters.,"统计显示,2017年贵州省1-3季度生产总值为9500亿元,茅台市值将贵州省去年前三季度GDP远远甩在身后。","2017年第一至第三季度数据显示,贵州省的年均产值为9.5亿元。马蹄酒的市值远远超过了贵州省的GDP。",wmt/wmt19,wmt19_newstest_235,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00066,en2cmn,domain,"""I saw he was dead ... I kissed him.""",我发现他已经死了......我亲吻了他。”,我看见他死了 我亲吻他,wmt/wmt19,wmt19_newstest_942,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00067,en2cmn,domain,"Currently, the Republican Guard supporting Saleh is also occupying the airport.","目前,支持萨利赫的共和国卫队也占领机场","目前,共和军正在支持萨勒的空军基地也被占据了。",wmt/wmt19,wmt19_newstest_748,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00068,en2cmn,domain,The CPC Central Committee believes that the new leadership at the Jiu San Society will definitely be able to shoulder the heavy responsibility that history has entrusted onto them and the vast majority of its members.,"中共中央相信,九三学社新一届中央领导机构一定能够肩负起历史赋予的使命和广大成员的重托。","中共中央委员会认为,新领导班子在九三一社会中会有足够的责任心来承担历史所赋予的重任,以及九三一社会的大多数成员。",wmt/wmt19,wmt19_newstest_649,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00069,en2cmn,domain,This is a Republican governor in an overwhelmingly Democratic state who is astonishingly popular.,"这是一位在一个民主占大多数的州担任州长的共和党人,而且他还出奇地受欢迎。","这个是共和州的州长,一个多数民主州的州长,令人惊讶地受欢迎。",wmt/wmt19,wmt19_newstest_157,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00070,en2cmn,domain,Li Keqiang stressed that China is ready to step up its communication and coordination with Russia in international affairs.,"李克强强调,中方愿同俄方加强在国际事务中的沟通协调。","李克强强调,中国准备与俄罗斯在国际事务上相处协作。",wmt/wmt19,wmt19_newstest_343,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00071,en2cmn,domain,"Manturov said, “Manufacturing 18 units puts us at full capacity now. This year’s output is more than 70 units, with 200 units next year, and 300 or even more the year after.”","曼图罗夫说:“我们现在生产18辆就满负荷了,今年的产量是70辆以上,明年达到200辆,后年300辆甚至更多。”","曼纽尔说, ""今年产量已达70台,下年将达到200台,甚至更高。""",wmt/wmt19,wmt19_newstest_254,Unknown,2026-09-23,passed,,,,,,,
s52_taskA_00072,en2cmn,domain,"On the morning of December 21, Kvitova’s operation was completed, and all tendons and two nerves of her five fingers were repaired well.","12月21日早上,科维托娃完成手术,医生修复了她5根手指的所有肌腱和2根神经。","在12月21日上午完成了维肯托夫的手术,所有的指骨和两根神经都修复得很好。",wmt/wmt19,wmt19_newstest_239,Unknown,2026-09-23,passed,,,,,,,
