src,tgt
"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.",在经历了最初的军事挫折后，埃塞尔雷德与奥拉夫达成了协议。奥拉夫随后返回挪威，试图夺回自己的王国，但结果喜忧参半。
"Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).",韩文字母是目前唯一被专门创造并广泛用于日常生活的字母系统。该字母于1444年世宗大王（1418—1450年）统治时期发明。
"King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.",世宗大王是朝鲜王朝第四代君主，也是朝鲜历史上最受尊敬的君主之一。
"He originally named the Hangeul alphabet Hunmin Jeongeum, which means ""the correct sounds for the instruction of the people"".",他最初将韩文字母命名为“训民正音”，意为“教导百姓的正确声音”。
"There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.",关于梵语的起源有许多理论，其中一种认为雅利安人从西方迁徙到印度，并将他们的语言带到了那里。
"Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.",梵语是一种古老语言，可与欧洲使用的拉丁语相媲美。
"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.",世界上已知最早的书籍是用梵文写成的。《奥义书》编纂完成后，梵语因社会等级制度的影响逐渐衰落。
"Sanskrit is a very complex and rich language, which has served to be the source for many modern Indian languages, just like Latin is the source for European languages like French and Spanish.",梵语是一种极其复杂且丰富的语言，是许多现代印度语言的源头，就像拉丁语是法语、西班牙语等欧洲语言的源头一样。
"With the battle for France over, Germany began to get ready to invade the island of Britain.",随着法国战役结束，德国开始准备入侵不列颠岛。
"Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.",德国将这次进攻代号命名为“海狮行动”。英国军队从敦刻尔克撤退时丢失了大部分重型武器和补给，因此军队实力相当薄弱。
"But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.",但皇家海军仍远强于德国海军（“Kriegsmarine”），并且本可以摧毁任何派遣穿越英吉利海峡的入侵舰队。
"However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.",然而，由于海军将领担心舰艇会遭到德国空袭击沉，部署在可能入侵路线附近的皇家海军舰艇非常少。
"Let's start with an explanation about Italy's plans. Italy was mainly the ""little brother"" of Germany and Japan.",让我们先解释一下意大利的计划。意大利主要是德国和日本的“小兄弟”。
"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.",意大利的陆军和海军实力都较弱，尽管它在战争开始前不久刚建造了四艘新舰艇。
"Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.",意大利的主要目标是非洲国家。为了占领这些国家，他们需要一个出兵基地，以便军队能够横渡地中海并入侵非洲。
"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else.",为此，他们必须清除英国在埃及的基地和舰船。除此之外，意大利的战舰并不应该执行其他任务。
"Now for Japan. Japan was an island country, just like Britain.",现在来看日本。日本和英国一样，也是一个岛国。
"Submarines are ships designed to travel underwater, and remain there for an extended amount of time.",潜艇是一种用于水下航行并能在水下长时间停留的船只。
"Submarines were used in World War I and World War II. Back then they were very slow and had a very limited shooting range.",潜艇曾被用于第一次世界大战和第二次世界大战。当时的潜艇速度很慢，攻击射程也非常有限。
"In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.",战争初期，潜艇大多在海面上航行，但随着雷达技术的发展和精确度提高，潜艇被迫潜入水下以避免被发现。
"German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.",德国潜艇被称为U型潜艇。德国人在导航和操控潜艇方面非常擅长。
"Because of their success with submarines, after the war Germans aren't trusted to have many of them.",由于德国人在潜艇作战方面取得的成功，战后德国不被允许拥有大量潜艇。
"Yes! King Tutankhamun, sometimes referred to as ""King Tut"" or ""The Boy King"", is one of the most well known ancient Egyptian kings in modern times.",是的！图坦卡蒙国王，有时被称为“图特王”或“少年国王”，是现代最著名的古埃及国王之一。
"Interestingly, he was not considered to be very important in ancient times and was not recorded on most ancient king lists.",有趣的是，他在古代并不被认为十分重要，也没有被记录在大多数古代国王名录中。
"However, the discovery of his tomb in 1922 made him a celebrity. While many tombs of the past were robbed, this tomb was left virtually undisturbed.",然而，1922年他的陵墓被发现后，他成为了名人。许多古代陵墓曾遭盗掘，而他的陵墓几乎完好无损。
"Most of the items buried with Tutankhamun have been well preserved, including thousands of artefacts made from precious metals and rare stones.",图坦卡蒙墓中的大部分陪葬品都保存完好，其中包括数千件由贵金属和稀有宝石制成的文物。
"The invention of spoke wheels made Assyrian chariots lighter, faster, and better prepared to outrun soldiers and other chariots.",辐条车轮的发明使亚述战车更加轻便、快速，也更容易超过步兵和其他战车。
"Arrows from their deadly crossbows could penetrate the armor of rival soldiers. About 1000 B.C., the Assyrians introduced the first cavalry.",他们致命的弩箭能够穿透敌军士兵的盔甲。大约公元前1000年，亚述人建立了最早的骑兵部队。
"A cavalry is an army that fights on horseback. The saddle had not yet been invented, so the Assyrian cavalry fought on the bare backs of their horses.",骑兵是指骑马作战的军队。当时马鞍尚未发明，因此亚述骑兵只能骑在没有马鞍的马背上作战。
"We know many Greek politicians, scientists, and artists. Possibly the most known person of this culture is Homer, the legendary blind poet, who composed two masterpieces of Greek literature: the poems Iliad and Odyssey.",我们了解许多希腊政治家、科学家和艺术家。这个文化中最著名的人物可能是传奇盲人诗人荷马，他创作了希腊文学的两部杰作：《伊利亚特》和《奥德赛》。
"Sophocles and Aristophanes are still popular playwrights and their plays are considered to be among the greatest works of world literature.",索福克勒斯和阿里斯托芬至今仍是著名剧作家，他们的戏剧被认为是世界文学中最伟大的作品之一。
"Another famous Greek is a mathematician Pythagoras, mostly known for his famous theorem about relations of the sides of right triangles.",另一位著名的希腊人是数学家毕达哥拉斯，他主要因提出关于直角三角形边长关系的著名定理而闻名。
"There are varying estimates for how many people speak Hindi. It is estimated to be between the second and fourth most commonly spoken language in the world.",关于印地语使用者的人数有不同估计。据估计，印地语是世界上使用人数排名第二至第四的语言。
"The number of native speakers varies depending on whether or not very closely related dialects are counted.",母语使用者数量会因是否将关系非常密切的方言计算在内而有所不同。
"Estimates range from 340 million to 500 million speakers, and as many as 800 million people can understand the language.",据估计，印地语使用者人数约为3.4亿至5亿，而能够理解这种语言的人数多达8亿。
"Hindi and Urdu are similar in vocabulary but different in script; in everyday conversations, speakers of both languages can usually understand each other.",印地语和乌尔都语在词汇方面相似，但书写系统不同；在日常交流中，两种语言的使用者通常能够相互理解。
"Around the 15th century, northern Estonia was under great cultural influence of Germany.",15世纪前后，爱沙尼亚北部深受德国文化的影响。
"Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language.",一些德国修道士希望让上帝更贴近当地民众，因此创造了爱沙尼亚书面语言。
"It was based on the German alphabet and one character ""Õ/õ"" was added.",它以德文字母表为基础，并增加了一个字母“Õ/õ”。
"As time passed, many words that were borrowed from German coalesced. This was the beginning of enlightenment.",随着时间推移，许多借自德语的词汇逐渐融合，这标志着启蒙运动的开始。
"Traditionally, the heir to the throne would go straight into the military after finishing school.",传统上，王位继承人在完成学业后会直接进入军队服役。
"However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).",然而，查尔斯进入剑桥大学三一学院学习，先后研修人类学、考古学和历史学，并获得了二等二级学位（较低的二等学位）。
"Charles was the first member of the British Royal Family to be awarded a degree.",查尔斯是英国王室中第一位获得大学学位的成员。
"European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country.",欧洲部分的土耳其（巴尔干半岛上的东色雷斯或鲁米利亚）占该国国土面积的3%。
"The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape.","土耳其领土长1600多公里（1000英里），宽800公里（500英里），大致呈矩形。"
"Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe.","土耳其国土面积（包括湖泊）为783,562平方公里（300,948平方英里），其中755,688平方公里（291,773平方英里）位于西南亚，23,764平方公里（9,174平方英里）位于欧洲。"
"Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined.",土耳其面积位居世界第37位，约相当于法国本土和英国面积之和。
"Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.",土耳其三面环海：西临爱琴海，北临黑海，南临地中海。
"Luxembourg has a long history but its independence dates from 1839.",卢森堡历史悠久，但其独立地位始于1839年。
"Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution.",如今比利时的部分地区过去曾属于卢森堡，但在19世纪30年代比利时革命后成为比利时领土。
"Luxembourg has always tried to remain a neutral country but it was occupied in both World War I and World War II by Germany.",卢森堡一直努力保持中立国地位，但在第一次世界大战和第二次世界大战期间均被德国占领。
"In 1957 Luxembourg became a founding member of the organization which is today known as the European Union.",1957年，卢森堡成为如今称为欧盟的这一组织的创始成员国。
"The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).",朱克杰宗（Drukgyal Dzong）是一座废弃的堡垒和佛教寺院，位于帕罗宗上部地区（方德村）。
"It is said that in 1649, Zhabdrung Ngawang Namgyel created the fortress to commemorate his victory against the Tibetan-Mongol forces.",据说，1649年，夏仲阿旺朗杰（Zhabdrung Ngawang Namgyel）建造了这座堡垒，以纪念他战胜藏蒙联军的胜利。
"In 1951, a fire caused for only some of the relics of the Drukgyal Dzong to remain, such as the image of Zhabdrung Ngawang Namgyal.",1951年，一场大火使朱克杰宗仅留下少量遗迹，例如夏仲阿旺朗杰的塑像。
"After the fire, the fortress was preserved and protected, remaining to be one of Bhutan's most sensational attractions.",火灾后，这座堡垒得到保存和保护，至今仍是不丹最引人注目的景点之一。
"During the 18th century Cambodia found itself squeezed between two powerful neighbors, Thailand and Vietnam.",18世纪的柬埔寨处于两个强大邻国——泰国和越南之间的夹缝中。
"The Thais invaded Cambodia several times in the 18th century and in 1772 they destroyed Phnom Phen.",18世纪期间，泰国曾多次入侵柬埔寨，并于1772年摧毁了金边。
"In the last years of the 18th century the Vietnamese also invaded Cambodia.",18世纪末，越南也入侵了柬埔寨。
"Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.",18%的委内瑞拉人处于失业状态，而就业者中的大多数从事非正规经济活动。
"Two thirds of Venezuelans who work do so in the service sector, nearly a quarter work in industry and a fifth work in agriculture.",在就业的委内瑞拉人中，三分之二从事服务业，近四分之一从事工业，五分之一从事农业。
"An important industry for Venezuelans is oil, where the country is a net exporter, even though only one percent work in the oil industry.",石油是委内瑞拉的重要产业之一。该国是石油净出口国，尽管只有1%的人从事石油行业。
"Early in the nation's independence, Singapore Botanic Gardens' expertise helped to transform the island into a tropical Garden City.",新加坡独立初期，新加坡植物园凭借其专业知识帮助该岛转变为热带花园城市。
"In 1981, Vanda Miss Joaquim, an orchid hybrid, was chosen as the nation's national flower.",1981年，兰花杂交品种卓锦万代兰被选为新加坡国花。
"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains.",每年10月左右，近150万只食草动物从北部山区出发，穿越马拉河，前往南部平原迎接雨季。
"And then back to the north through the west, once again crossing the Mara river, after the rains in around April.",大约在4月雨季结束后，它们又经由西部返回北方，再次穿越马拉河。
"The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.",塞伦盖蒂地区包括坦桑尼亚的塞伦盖蒂国家公园、恩戈罗恩戈罗保护区、马斯瓦野生动物保护区，以及肯尼亚的马赛马拉国家保护区。
"Learning to create interactive media requires conventional and traditional skills, as well as tools mastered in interactive classes (storyboarding, audio and video editing, story telling, etc.)",学习制作互动媒体需要掌握传统和常规技能，以及在互动课程中学习的相关工具（如分镜设计、音频和视频编辑、故事叙述等）。
"Interactive design requires that you re-assess your assumptions about media production and learn to think in a non-linear ways.",互动设计要求你重新审视对媒体制作的假设，并学会以非线性方式思考。
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.",互动设计要求项目各组成部分相互连接，同时也能够作为独立实体发挥作用。
"The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses.",变焦镜头的缺点是，为实现不同焦距范围，其焦距设计复杂度以及所需镜片元件数量都远高于定焦镜头。
"This is becoming less of an issue as lens manufacturers achieve higher standards in lens production.",随着镜头制造商不断提高生产标准，这一问题正在逐渐减轻。
"This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length.",这使得变焦镜头能够拍摄出与固定焦距镜头质量相当的照片。
"Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower.",变焦镜头的另一个缺点是其最大光圈（镜头速度）通常较小。
"This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.",这使得廉价变焦镜头在没有闪光灯的情况下难以在低光环境中使用。
"One of the most common problems when trying to convert a movie to DVD format is the overscan.",将电影转换为DVD格式时最常见的问题之一是过扫描。
"Most televisions are made in a way to please the general public.",大多数电视机的设计都是为了满足普通观众的观看需求。
"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.",因此，电视上显示的画面通常会裁剪掉顶部、底部和两侧的边缘。
"This is made to ensure that the image covers the whole screen. That is called overscan.",这样做是为了确保图像覆盖整个屏幕，这种现象称为“过扫描”。
"Unfortunately, when you make a DVD, it's borders will most likely be cut too, and if the video had subtitles too close to the bottom, they won't be fully shown.",遗憾的是，制作DVD时，画面的边缘也很可能会被裁剪。如果视频中的字幕太靠近底部，就无法完整显示。
"The traditional medieval castle has long inspired the imagination, conjuring up images of jousts, banquets and Arthurian chivalry.",传统的中世纪城堡长期以来激发着人们的想象，让人联想到骑士比武、盛宴以及亚瑟王时代的骑士精神。
"Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits.",即使站在千年古老的废墟中，人们也很容易想起早已消逝的战争场景，仿佛能听见马蹄踏在鹅卵石上的声响，也能闻到从地牢深处散发出的恐惧气息。
"But is our imagination based on reality? Why were castles built in the first place? How were they designed and built?",但我们的想象是否基于现实？城堡最初为何建造？它们又是如何设计和建造的？
