src,ref,hyp
现代教育指控他未经授权在公交车上刊登大型广告，并谎称自己是首席英语教师。,Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.,Modern education has accused him of posting large advertisements on buses without authorization and falsely claiming to be the chief English teacher.
他此前也曾被指控侵犯版权，但并未受到起诉。,"He has also been accused previously of copyright infringement, but was not charged.",He has also been accused of copyright infringement in the past but has not been sued.
一名前学生表示，他“在课堂上使用俚语，在笔记中教授约会技巧，就像学生的朋友一样”。,"A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'","A former student said he ""used slang in class, taught dating tips in notes, and was like a friend to the students."""
在过去三十年里，尽管中国官方仍将其定义为共产主义国家，但中国已经发展出了市场经济。,"During the last three decades, despite officially remaining a communist state, China has developed a market economy.","Over the past three decades, despite official Chinese still defining it as a communist country, China has developed a market economy."
最初的经济改革是在邓小平的领导下进行的。,The first economic reforms were made under the leadership of Deng Xiaoping.,The initial economic reforms were carried out under the leadership of Deng Xiaoping.
从那以后，中国的经济规模增长了90倍。,"Since then, China's economic size has grown by 90 times.","Since then, China's economic scale has grown by 90 times."
去年，中国首次出口了比德国更多的汽车，并超过美国成为该行业最大的市场。,"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.","Last year, China exported more cars than Germany and surpassed the United States to become the largest market in the industry."
中国的国内生产总值可能在20年内超过美国。,China's GDP could be larger than the United States within two decades.,China's gross domestic product may surpass that of the United States within 20 years.
热带风暴“丹妮尔”已在大西洋东部形成，是2010年大西洋飓风季第四个获得命名的风暴。,"Tropical Storm Danielle, fourth named storm of the 2010 Atlantic hurricane season, has formed in the eastern Atlantic Ocean.","Tropical Storm ""Danielle"" has formed in the eastern Atlantic, becoming the fourth named storm of the 2010 Atlantic hurricane season."
这场风暴位于距离佛罗里达州迈阿密约3000英里的海域，最大持续风速达到每小时40英里（64公里）。,"The storm, located approximately 3,000 miles from Miami, Florida, has maximum sustained winds of 40 mph (64 kph).","The storm is located about 3,000 miles off the coast of Florida, Miami, with the maximum sustained wind speed reaching 40 miles per hour (64 kilometers per hour)."
美国国家飓风中心的科学家预测，“丹妮尔”将在周三前增强为飓风。,Scientists at the National Hurricane Center predict that Danielle will strengthen to a hurricane by Wednesday.,"Scientists at the National Hurricane Center predict that ""Danielle"" will strengthen into a hurricane before Wednesday."
由于风暴距离登陆地点较远，目前仍难以评估其对美国或加勒比地区可能造成的影响。,"As the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean.","Because the storm is far from the landing point, it is still difficult to assess its potential impact on the United States or the Caribbean region."
博贝克出生于克罗地亚首都萨格勒布，在效力贝尔格莱德游击队期间声名鹊起。,"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.","Borбек was born in the capital of Croatia, Zagreb, and gained fame while playing for FK Beograd."
他于1945年加入该队，并一直效力到1958年。,He joined them in 1945 and stayed until 1958.,He joined the team in 1945 and served until 1958.
在效力该队期间，他出场468次，打入403球。,"During his time with the team, he scored 403 goals in 468 appearances.","During his time with the team, he made 468 appearances and scored 403 goals."
博贝克是该俱乐部出场次数最多且进球数最多的球员，至今无人超越。,No one else has ever made more appearances or scored more goals for the club than Bobek.,"Bobek is the player with the most appearances and the most goals for the club, and no one has surpassed him so far."
1995年，他被评选为游击队历史上最佳球员。,In 1995 he was voted the best player in Partizan's history.,"In 1995, he was elected as the best player in the history of guerrilla teams."
庆祝活动以世界著名团体太阳马戏团的一场特别演出拉开序幕。,The celebrations started with a special show by the world-renowned group Cirque du Soleil.,"The celebration was kicked off with a special performance by the world-famous troupe, Cirque du Soleil."
随后登场的是伊斯坦布尔国家交响乐团、一支禁卫军乐队，以及歌手法提赫·埃尔科克和穆斯林·古尔斯。,"It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.","Then came the Istanbul National Symphony Orchestra, a guard band, and singers Fatih Erkoç and Müslüm Gürs."
随后，旋转托钵僧登上了舞台。,Then Whirling Dervishes took to the stage.,"Then, the spinning bowl monk came onto the stage."
土耳其歌后塞泽·阿克苏与意大利男高音亚历山德罗·萨菲纳和希腊歌手哈里斯·阿莱克修同台演出。,Turkish diva Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou.,Turkish diva Ceyda Aksoy performed alongside Italian tenor Alessandro Safina and Greek singer Harris Alekssiu.
最后，土耳其舞蹈团“安纳托利亚之火”表演了节目《特洛伊》。,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","Finally, the Turkish dance troupe ""Anatolia's Fire"" performed the piece ""Troy."""
13岁的摩托车赛车手彼得·伦茨在印第安纳波利斯赛车场发生事故后去世。,"Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway.","Peter Lenz, a 13-year-old motorcycle racer, has died after an accident at the Indianapolis Motor Speedway."
伦茨在热身圈行驶时从赛车上摔下，随后被同场比赛的车手泽维尔·扎亚特撞击。,"While on his warm-up lap, Lenz fell off his bike, and was then struck by fellow racer Xavier Zayat.",Lance crashed off his bike during warm-up and was then hit by fellow racer Xavier Zaiaut.
赛道医疗人员立即对他进行救治，并将他送往当地医院，但他随后因伤势过重去世。,He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.,"The race track medical staff immediately treated him and sent him to the local hospital, but he later died from his severe injuries."
扎亚特在这起事故中没有受伤。,Zayat was unhurt in the accident.,Zayat was not injured in this accident.
关于全球金融形势，萨帕特罗继续说道：“金融体系是经济的一部分，而且是至关重要的一部分。”,"Regarding the global financial situation, Zapatero continued by saying that ""the financial system is a part of the economy, a crucial part.","Regarding the global financial situation, Sapturo continued to say, ""The financial system is part of the economy, and it is a crucial part."""
“这场金融危机已经持续了一年，其中最严重的阶段出现在过去两个月。我认为，目前金融市场正开始复苏。”,"We have a year-long financial crisis, which has had its most acute moment in the past two months, and I think now the financial markets are beginning to recover.""","""The financial crisis has been ongoing for a year, with the most severe phase occurring in the past two months. I believe that the financial market is now beginning to recover."""
上周，裸体新闻（Naked News）宣布将通过新增三档广播节目，大幅扩大其国际多语言新闻报道业务。,"Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.","Last week, Naked News announced that it will significantly expand its international multilingual news reporting business by adding three new radio programs."
该全球组织目前已使用英语和日语进行报道，并正在为电视、网络和移动设备推出西班牙语、意大利语和韩语节目。,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","The global organization currently reports in English and Japanese and is launching Spanish, Italian, and Korean programs for television, the internet, and mobile devices."
“幸运的是，我没有受到任何伤害，但我目睹了可怕的一幕，人们试图打破窗户逃出去。”,"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.","Luckily, I wasn't injured, but I witnessed a terrible scene where people tried to break the windows to escape."
人们用椅子撞击玻璃窗，但窗户无法被打破。,"People were hitting the panes with chairs, but the windows were unbreakable.","People hit the glass window with chairs, but the window cannot be broken."
幸存者弗朗齐歇克·科瓦尔说：“最终一块玻璃碎了，他们开始从窗户逃出去。”,"One of the panes finally broke, and they started to get out by the window,"" said survivor Franciszek Kowal.","Survivor Franciszek Kowalski said, ""Finally, a piece of glass broke, and they began escaping out the windows."""
恒星会发出光和热，这是因为氢原子结合（或聚变）形成更重元素时会产生能量。,Stars give off light and heat because of the energy made when hydrogen atoms are merged (or fused) together to form heavier elements.,Stars emit light and heat because energy is produced when hydrogen atoms combine (or fuse) to form heavier elements.
科学家正在努力研制一种能够以相同方式产生能量的反应堆。,Scientists are working to create a reactor that can make energy in the same way.,Scientists are working on developing a reactor that can produce energy in the same way.
然而，这是一个非常难以解决的问题，可能需要很多年才能看到实用的聚变反应堆建成。,"This, however, is a very hard problem to solve and will take many years before we see useful fusion reactors built.","However, this is a very difficult problem to solve, and it may take many years before a practical fusion reactor is built."
钢针能够漂浮在水面上，是因为表面张力的作用。,The steel needle floats on top of the water because of surface tension.,The needle can float on the water surface due to the effect of surface tension.
表面张力的产生是因为水面上的水分子彼此之间的吸引力，比它们与上方空气分子之间的吸引力更强。,Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,The surface tension arises because the attraction between water molecules on the surface is stronger than the attraction between them and the air molecules above.
水分子会在水面形成一层看不见的薄膜，使像钢针这样的物体能够漂浮在水面上。,The water molecules make an invisible skin on the water’s surface that allows things like the needle to float on top of the water.,"Water molecules form an invisible film on the water surface, allowing objects like steel needles to float on it."
现代冰鞋的刀刃具有双刃结构，两刃之间有一个凹槽。即使冰刀倾斜，双刃也能让冰鞋更好地抓住冰面。,"The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.","Modern ice skates have a double-edged structure with a groove between the blades. Even when the blade is tilted, the double edge allows the skates to grip the ice better."
由于冰刀底部略微弯曲，当冰刀向任一侧倾斜时，与冰面接触的刀刃也会随之弯曲。,"Because the bottom of the blade is slightly curved, as the blade tilts to one side or the other, the edge which is in contact with the ice also curves.","Because the bottom of the blade is slightly curved, when the blade tilts to either side, the edge contacting the ice also curves accordingly."
这会使滑冰者转向。如果冰刀向右倾斜，滑冰者就向右转；如果冰刀向左倾斜，滑冰者就向左转。,"This causes the skater to turn. If the skates tilt to the right, the skater turns right, if the skates tilt to the left, the skater turns left.","This will make the skater turn. If the blade leans to the right, the skater turns right; if the blade leans to the left, the skater turns left."
为了恢复到原来的能量状态，它们必须释放从光中获得的额外能量。,"To return to their previous energy level, they must get rid of the extra energy they got from the light.","To return to their original energy state, they must release the extra energy obtained from light."
它们通过发射一种被称为“光子”的微小光粒子来实现这一过程。,"They do this by emitting a tiny particle of light called a ""photon"".","They achieve this process by emitting tiny light particles called ""photons."""
科学家将这一过程称为“受激辐射”，因为原子受到强光刺激后会发射光子，而光本身也是一种辐射。,"Scientists call this process ""stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation.","Scientists call this process ""stimulated emission"" because atoms emit photons after being stimulated by intense light, and light itself is also a form of radiation."
下一张图片展示了原子发射光子的过程。当然，实际上光子要比图片中显示的小得多。,"The next picture shows the atoms emitting photons. Of course, in reality photons are a lot smaller than those in the picture.","The next image shows the process of atoms emitting photons. Of course, in reality, photons are much smaller than those shown in the image."
光子甚至比构成原子的物质还要小！,Photons are even smaller than the stuff that makes up atoms!,Photons are even smaller than the matter that makes up atoms!
灯泡使用数百小时后，内部灯丝最终会烧坏，灯泡也就无法继续工作。,After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.,"After hundreds of hours of use, the internal filament of the bulb will eventually burn out, and the bulb will no longer be able to function."
此时需要更换灯泡，更换灯泡时必须小心操作。,The light bulb then needs replacing. It is necessary to be careful in replacing the light bulb.,"At this point, it is necessary to replace the light bulb. When replacing the light bulb, it is essential to handle it with care."
首先，需要关闭灯具开关或断开电缆连接。,"First, the switch for the light fixture needs to be turned off or the cable disconnected.","First, turn off the light switch or disconnect the cable connection."
这是因为，当灯泡仍部分连接在插座中时，如果触碰插座内部或灯泡的金属底座，流入灯座的电流可能会导致严重电击。,This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,"This is because, when the bulb is still partially connected to the socket, touching the inside of the socket or the metal base of the bulb may result in a severe electric shock as current flows into the socket."
循环系统的主要器官是心脏，它负责泵送血液。,"The major organ of the circulatory system is the heart, which pumps the blood.","The main organ of the circulatory system is the heart, which is responsible for pumping blood."
血液通过称为动脉的血管从心脏流出，再通过称为静脉的血管回流到心脏。最细小的血管称为毛细血管。,Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.,Blood flows from the heart through vessels called arteries and returns to the heart through vessels called veins. The smallest blood vessels are called capillaries.
三角龙的牙齿不仅能够咬碎树叶，甚至还能咬碎非常坚硬的树枝和树根。,A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.,Triceratops teeth could not only chew leaves but also bite through very hard branches and roots.
一些科学家认为三角龙以苏铁为食，这是一种在白垩纪时期十分常见的植物。,"Some scientists think Triceratops ate cycads, which are a type of plant that was common in the Cretaceous.","Some scientists believe that the Triceratops fed on cycads, a plant that was very common during the Cretaceous period."
这些植物看起来像小型棕榈树，顶部生长着一簇尖锐、带刺的叶子。,"These plants look like a small palm tree with a crown of sharp, spiky leaves.","These plants resemble small palm trees, with a cluster of sharp, spiny leaves at the top."
三角龙可能会用强壮的喙剥去叶子，然后食用树干。,A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,"The Triceratops may use its strong beak to strip leaves, then eat the trunk."
其他科学家认为这些植物具有很强的毒性，因此恐龙不太可能食用它们，尽管如今树懒以及其他动物（例如鹦鹉，恐龙的后代）能够食用有毒的叶子或果实。,"Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.","Other scientists believe these plants are highly toxic, so dinosaurs were unlikely to eat them, although sloths and other animals (such as parrots, descendants of dinosaurs) can now consume toxic leaves or fruits."
木卫一的重力会如何作用于我？如果你站在木卫一表面，你的体重会比在地球上轻。,"How would Io's gravity pull on me? If you stood on the surface of Io, you would weigh less than you do on Earth.","How would the gravity of Io affect me? If you stand on the surface of Io, your weight would be lighter than on Earth."
一个在地球上重200磅（90千克）的人，在木卫一上的重量约为36磅（16千克）。因此，木卫一的重力对你的拉力当然更小。,"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you.","A person weighing 200 pounds (90 kilograms) on Earth would weigh about 36 pounds (16 kilograms) on Io. Therefore, the gravitational pull of Io on you is, of course, much smaller."
太阳不像地球那样拥有可以站立的地壳。整个太阳由气体、炽热物质和等离子体组成。,"The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.","The Sun does not have a solid crust like Earth. The entire Sun is composed of gas, hot matter, and plasma."
距离太阳中心越远，气体就会变得越稀薄。,The gas becomes thinner as you go farther from the center of the Sun.,"The farther from the center of the sun, the rarer the gas becomes."
我们观察太阳时看到的外层称为光球层，其含义是“光之球”。,"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".","The outer layer we observe when looking at the sun is called the photosphere, which means ""the sphere of light."""
大约三千年后，也就是1610年，意大利天文学家伽利略·伽利莱使用望远镜观察到金星也像月球一样具有相位变化。,"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.","Around 3,000 years later, in 1610, Italian astronomer Galileo Galilei observed that Venus, like the Moon, exhibited phases."
相位变化是因为金星（或月球）只有朝向太阳的一面被照亮。金星的相位变化支持了哥白尼提出的行星绕太阳运行的理论。,Phases happen because only the side of Venus (or of the Moon) facing the Sun is lighted. The phases of Venus supported the theory of Copernicus that the planets go around the Sun.,The phase changes occur because only one side of Venus (or the Moon) is illuminated by the Sun. The phase changes of Venus support the theory proposed by Copernicus that planets revolve around the Sun.
几年后，也就是1639年，英国天文学家杰里迈亚·霍罗克斯（Jeremiah Horrocks）观测到了金星凌日现象。,"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.","Several years later, in 1639, British astronomer Jeremiah Horrocks observed the transit of Venus."
重新征服丹麦法地区（Danelaw）后，英格兰经历了长期的和平时期。,England had experienced a long period of peace after the reconquest of the Danelaw.,"After recapturing the Danelaw, England experienced a long period of peace."
然而，到了991年，埃塞尔雷德面对了一支规模超过一个世纪前古斯鲁姆以来任何维京舰队的维京舰队。,However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,"However, in 991, Ethelred faced a Viking fleet larger than any since the days of Gorm the Old over a century ago."
这支舰队由奥拉夫·特里格瓦松率领，他是一名挪威人，企图将自己的国家从丹麦统治下夺回。,"This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.","This fleet was led by Olaf Tryggvason, a Norwegian, who sought to liberate his country from Danish rule."
在经历了最初的军事挫折后，埃塞尔雷德与奥拉夫达成了协议。奥拉夫随后返回挪威，试图夺回自己的王国，但结果喜忧参半。,"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.","After initial military setbacks, Ethelred reached an agreement with Olaf. Olaf then returned to Norway, attempting to reclaim his kingdom, but the results were mixed."
韩文字母是目前唯一被专门创造并广泛用于日常生活的字母系统。该字母于1444年世宗大王（1418—1450年）统治时期发明。,Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).,The Korean alphabet is currently the only alphabet specifically created and widely used in daily life. It was invented during the reign of King Sejong the Great (1418–1450).
世宗大王是朝鲜王朝第四代君主，也是朝鲜历史上最受尊敬的君主之一。,King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.,King Sejong the Great was the fourth ruler of the Joseon Dynasty and one of the most respected monarchs in Korean history.
他最初将韩文字母命名为“训民正音”，意为“教导百姓的正确声音”。,"He originally named the Hangeul alphabet Hunmin Jeongeum, which means ""the correct sounds for the instruction of the people"".","He originally named the Korean alphabet ""Hunminjeongum,"" meaning ""the correct sounds for instructing the people."""
关于梵语的起源有许多理论，其中一种认为雅利安人从西方迁徙到印度，并将他们的语言带到了那里。,There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.,"There are many theories about the origin of Sanskrit, one of which suggests that the Aryans migrated from the West to India and brought their language with them."
梵语是一种古老语言，可与欧洲使用的拉丁语相媲美。,Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.,"Sanskrit is an ancient language, comparable to Latin used in Europe."
世界上已知最早的书籍是用梵文写成的。《奥义书》编纂完成后，梵语因社会等级制度的影响逐渐衰落。,"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.","The world's earliest known books were written in Sanskrit. After the compilation of the Upanishads, Sanskrit gradually declined due to the influence of the social hierarchy."
梵语是一种极其复杂且丰富的语言，是许多现代印度语言的源头，就像拉丁语是法语、西班牙语等欧洲语言的源头一样。,"Sanskrit is a very complex and rich language, which has served to be the source for many modern Indian languages, just like Latin is the source for European languages like French and Spanish.","Sanskrit is an extremely complex and rich language, the source of many modern Indian languages, just as Latin is the source of French, Spanish, and other European languages."
随着法国战役结束，德国开始准备入侵不列颠岛。,"With the battle for France over, Germany began to get ready to invade the island of Britain.","As the French campaign ended, Germany began preparing to invade the British Isles."
德国将这次进攻代号命名为“海狮行动”。英国军队从敦刻尔克撤退时丢失了大部分重型武器和补给，因此军队实力相当薄弱。,"Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.","Germany named this offensive ""Operation Sea Lion."" The British army, during its retreat from Dunkirk, lost most of its heavy weapons and supplies, leaving the military forces quite weak."
但皇家海军仍远强于德国海军（“Kriegsmarine”），并且本可以摧毁任何派遣穿越英吉利海峡的入侵舰队。,But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.,"But the Royal Navy was still far stronger than the German Navy (""Kriegsmarine"") and could have destroyed any invading fleet sent across the English Channel."
然而，由于海军将领担心舰艇会遭到德国空袭击沉，部署在可能入侵路线附近的皇家海军舰艇非常少。,"However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.","However, due to the naval commanders' concerns that ships would be sunk by German air attacks, the Royal Navy ships deployed near possible invasion routes were very few."
让我们先解释一下意大利的计划。意大利主要是德国和日本的“小兄弟”。,"Let's start with an explanation about Italy's plans. Italy was mainly the ""little brother"" of Germany and Japan.","Let's first explain Italy's plan. Italy is mainly the ""little brothers"" of Germany and Japan."
意大利的陆军和海军实力都较弱，尽管它在战争开始前不久刚建造了四艘新舰艇。,"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.","Italy's army and navy were both weak, despite having just built four new ships shortly before the war began."
意大利的主要目标是非洲国家。为了占领这些国家，他们需要一个出兵基地，以便军队能够横渡地中海并入侵非洲。,"Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.","Italy's main goal is the African nations. To occupy these countries, they need a military base to allow their troops to cross the Mediterranean and invade Africa."
为此，他们必须清除英国在埃及的基地和舰船。除此之外，意大利的战舰并不应该执行其他任务。,"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else.","To this end, they must clear the British bases and ships in Egypt. Additionally, the Italian battleships should not carry out other tasks."
现在来看日本。日本和英国一样，也是一个岛国。,"Now for Japan. Japan was an island country, just like Britain.","Now let's look at Japan. Japan is also an island country, like the United Kingdom."
潜艇是一种用于水下航行并能在水下长时间停留的船只。,"Submarines are ships designed to travel underwater, and remain there for an extended amount of time.",A submarine is a vessel used for underwater navigation and can stay underwater for extended periods.
潜艇曾被用于第一次世界大战和第二次世界大战。当时的潜艇速度很慢，攻击射程也非常有限。,Submarines were used in World War I and World War II. Back then they were very slow and had a very limited shooting range.,"Submarines were used in World War I and World War II. At that time, the speed of submarines was very slow, and the attack range was also very limited."
战争初期，潜艇大多在海面上航行，但随着雷达技术的发展和精确度提高，潜艇被迫潜入水下以避免被发现。,"In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.","In the early stages of the war, most submarines sailed on the surface, but as radar technology developed and its accuracy improved, submarines were forced to dive underwater to avoid being detected."
德国潜艇被称为U型潜艇。德国人在导航和操控潜艇方面非常擅长。,German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.,German submarines are known as U-boats. The Germans are very skilled in navigation and handling submarines.
由于德国人在潜艇作战方面取得的成功，战后德国不被允许拥有大量潜艇。,"Because of their success with submarines, after the war Germans aren't trusted to have many of them.","After the war, Germany was not allowed to possess a large number of submarines due to the success of the Germans in submarine warfare."
是的！图坦卡蒙国王，有时被称为“图特王”或“少年国王”，是现代最著名的古埃及国王之一。,"Yes! King Tutankhamun, sometimes referred to as ""King Tut"" or ""The Boy King"", is one of the most well known ancient Egyptian kings in modern times.","Yes! Tutankhamun, sometimes called ""King Tut"" or the ""Young King,"" is one of the most famous ancient Egyptian kings."
有趣的是，他在古代并不被认为十分重要，也没有被记录在大多数古代国王名录中。,"Interestingly, he was not considered to be very important in ancient times and was not recorded on most ancient king lists.","Interestingly, he was not considered very important in ancient times and was not recorded in most ancient king lists."
然而，1922年他的陵墓被发现后，他成为了名人。许多古代陵墓曾遭盗掘，而他的陵墓几乎完好无损。,"However, the discovery of his tomb in 1922 made him a celebrity. While many tombs of the past were robbed, this tomb was left virtually undisturbed.","However, after his tomb was discovered in 1922, he became famous. Many ancient tombs had been looted, but his tomb remained almost intact."
图坦卡蒙墓中的大部分陪葬品都保存完好，其中包括数千件由贵金属和稀有宝石制成的文物。,"Most of the items buried with Tutankhamun have been well preserved, including thousands of artefacts made from precious metals and rare stones.","Most of the artifacts in Tutankhamun's tomb are well-preserved, including thousands of items made from precious metals and rare gemstones."
辐条车轮的发明使亚述战车更加轻便、快速，也更容易超过步兵和其他战车。,"The invention of spoke wheels made Assyrian chariots lighter, faster, and better prepared to outrun soldiers and other chariots.","The invention of spoked wheels made Assyrian chariots lighter, faster, and easier to overtake infantry and other chariots."
他们致命的弩箭能够穿透敌军士兵的盔甲。大约公元前1000年，亚述人建立了最早的骑兵部队。,"Arrows from their deadly crossbows could penetrate the armor of rival soldiers. About 1000 B.C., the Assyrians introduced the first cavalry.","Their deadly crossbow bolts could pierce through enemy soldiers' armor. Around 1000 BC, the Assyrians established the earliest cavalry units."
骑兵是指骑马作战的军队。当时马鞍尚未发明，因此亚述骑兵只能骑在没有马鞍的马背上作战。,"A cavalry is an army that fights on horseback. The saddle had not yet been invented, so the Assyrian cavalry fought on the bare backs of their horses.","Cavalry refers to armies that fight on horseback. At that time, the saddle had not yet been invented, so the Assyrian cavalry could only fight on horses without saddles."
