src,ref,hyp
谢长廷还声称马英九虽然很上镜，但中看不中用。,Hsieh also argued that the photogenic Ma was more style than substance.,"Xie Changting also claimed Ma Ying-jeou, despite looking good on camera, was all style and no substance."
尽管受到这些指责，马英九在一次演讲中主张与中国大陆建立更加紧密的联系，并轻松获胜。,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Despite these accusations, Ma Ying-jeou advocated for closer ties with mainland China during a speech and won easily."
今日最佳选手是来自华盛顿首都队的亚历克斯·奥韦奇金。,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Today's best player is Alex Ovechkin from the Washington Capitals.
在华盛顿队以 5-3 的比分战胜亚特兰大鸫鸟队的比赛中，他贡献了 2 个进球和 2 次助攻。,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,"In the game where the Washington team defeated the Atlanta Hawks 5-3, he contributed 2 goals and 2 assists."
奥韦奇金（Ovechkin）当晚的第一个助攻，来自新秀尼克拉斯·贝克斯特伦 (Nicklas Backstrom) 的制胜一球;,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Ovechkin's first assist that night came from a game-winning shot by rookie Nicklas Backstrom.
他当晚的第二个进球是他本赛季的第60个进球，成为自1995-96赛季以来首位在一个赛季中打进60个或更多进球的球员——在1995-96赛季，亚罗米尔·雅格和马里奥·拉缪都达到了这一里程碑。,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","His second goal that night was his 60th of the season, making him the first player since the 1995-96 season to score 60 or more goals in a single campaign—Yaromír Jágoda and Mario Lamoum had previously reached this milestone during the 1995-96 season."
巴滕位列 2008 年全美最富有 400 人榜单第 190 位，预计其财富达到约 23 亿美元。,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten ranked 190th on the 2008 list of the 400 richest people in the United States, with an estimated wealth of about $2.3 billion."
他在 1950 年毕业于弗吉尼亚大学艺术与科学学院，并且是该校的重要捐赠者。,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,He graduated from the College of Arts and Sciences at the University of Virginia in 1950 and is a major donor to the university.
伊拉克的阿布格莱布监狱在一次暴乱中着火。,Iraq's Abu Ghraib prison has been set alight during a riot.,The Abu Ghraib prison in Iraq was set ablaze during a riot.
美军接管后，该监狱发现了虐囚事件，自此变得声名狼藉。,The jail became notorious after prisoner abuse was discovered there after US forces took over.,"After the US military took over, the prison was found to have engaged in prisoner abuse, and it subsequently gained a notorious reputation."
在 2008 年新加坡大奖赛上，费尔南多·阿隆索提前进站后，小皮奎特发生撞车，迫使安全车出场。,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","At the 2008 Singapore Grand Prix, Fernando Alonso pitted early and a collision occurred with small pieces of debris, forcing the safety car out."
当位于阿隆索前面的赛车在安全车的引领下进行加油时，他趁机抢先，最终赢得了胜利。,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","When the race car in front of Alonso was refueling under the safety car's guidance, he seized the opportunity to take the lead and ultimately won the victory."
小皮奎特在 2009 年匈牙利大奖赛之后被解雇。,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Xiao Pi Quet was fired after the 2009 Hungarian Grand Prix.
正值上午 8 点 46 分，整座城市陷入了寂静，标示了第一架飞机撞上目标的确切时间。,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","At 8:46 in the morning, the entire city fell silent, marking the exact time the first plane hit the target."
两束光被临时造出，彻夜指向天空。,Two beams of light have been rigged up to point skywards overnight.,"Two beams were temporarily created, pointing to the sky all night."
该地点正在建设五座新摩天大楼，中间有一个交通中心和纪念公园。,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Five new skyscrapers are being built at this location, with a transportation hub and a memorial park in the center."
PBS 电视台的这个节目荣获二十多项艾美奖，其播出历史仅次于《芝麻街》和《罗杰斯先生的左邻右舍》。,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","PBS's show has won over twenty Emmys, with its broadcast history second only to that of ""Sesame Street"" and ""Mr. Rogers' Neighborhood."""
每集节目都会聚焦于特定图书中的某个主题，并通过多个故事对该主题展开探索活动。,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Each episode focuses on a specific theme from a particular book and explores the theme through multiple stories.
每期节目还会向孩子们提供建议，向推荐他们在去图书馆时应当查阅的书籍。,Each show would also provide recommendations for books that children should look for when they went to their library.,Each episode also provides children with recommendations on which books they should check out when visiting the library.
来自水牛城 WNED 电台（“阅读彩虹”节目的主电台）的约翰·格兰特 (John Grant) 说：“阅读彩虹教会了孩子们为什么要阅读，……还有对阅读的热爱——（该节目）鼓励孩子们拿起书来潜心阅读。”,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grant from WNED radio in Buffalo said, ""Reading Rainbow taught children why to read, and also a love for reading—the program encouraged children to pick up books and read intently."""
约翰·格兰特等人认为，该节目之所以停播，是因为资金短缺，以及教育节目制作理念发生了转变。,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",John Grant and others believe the program was canceled due to funding shortages and a shift in the philosophy for producing educational programs.
预报员称，这场位于佛得角群岛以西 645 英里（1040 公里）的风暴可能在对陆地地区造成威胁之前就会自行消散。,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","The forecaster stated that the storm, located 645 miles (1040 kilometers) west of the Cape Verde Islands, may dissipate on its own before posing a threat to coastal areas."
“弗雷德”目前正以每小时 105 英里（每小时 165 公里）的风速向西北方向移动。,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,Fred is currently moving northwest at 105 miles per hour (165 kilometers per hour).
“弗雷德”是卫星图像问世以来，在大西洋南部和东部记录到的最强热带气旋，也是有记录以来西经 35° 以东地区的第三大飓风。,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fred is the strongest tropical cyclone recorded in the southern and eastern Atlantic since satellite imagery became available, and the third-largest hurricane ever recorded east of 35° west longitude."
1759 年 9 月 24 日，阿瑟·吉尼斯在爱尔兰都柏林为圣詹姆斯之门啤酒厂签署了一份 9000 年的租约。,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","On September 24, 1759, Arthur Guinness signed a 9,000-year lease for St. James's Gate Brewery in Dublin, Ireland."
250 年后，健力士已经成长为年营业额 100 亿欧元（147亿美元）的全球性企业。,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","Two hundred fifty years later, Guinness has grown into a global enterprise with annual revenues of 10 billion euros (147 billion US dollars)."
今天，A1GP 新西兰队副驾驶约翰·里德 (Jonny Reid) 在合法驾驶的情况下，成为在有 48 年历史的新西兰奥克兰海港大桥上行驶最快的人，从而创造了历史。,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.","Today, Jonny Reid, the co-pilot of the A1GP New Zealand team, set a record by becoming the fastest person to drive across the 48-year-old Auckland Harbour Bridge in New Zealand under legal driving conditions, creating history."
瑞德先生最终驾驶新西兰 A1GP 汽车“黑美人”，以超过 160 千米每小时的速度七次穿过桥梁。,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","Mr. Reed ultimately drove New Zealand's A1GP car ""Black Beauty,"" crossing the bridge seven times at a speed exceeding 160 kilometers per hour."
由于“黑美人”的底盘过低，新西兰警方没法用测速雷达枪来检测里德先生的车速。警方唯一一次成功检测到里德先生的车速，是在他将车速降到 160 公里/小时的时候。,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Due to the low chassis of the ""Black Beauty,"" New Zealand police couldn't use the radar gun to detect Mr. Reid's speed, and the only time they successfully measured it was when he reduced his speed to 160 kilometers per hour."
在过去的 3 个月里，超过 80 名被捕者在没有被正式起诉的情况下从中央拘留所释放。,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.","Over the past 3 months, more than 80 detainees have been released from the central detention facility without being formally charged."
今年 4 月，格林法官针对该机构颁布了一项临时禁令，强制释放那些被关押 24 小时以上，却没有得到法庭专员听证的人。,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","In April of this year, Judge Green issued a temporary injunction against the institution, ordering the release of those detained for more than 24 hours without a hearing by a court officer."
如果获得批准，法庭专员即可设定保释金，并最终确定执行逮捕的警员提出的指控。这些指控随后会录入该州的计算机系统，以便在其中对案件进行追踪。,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","If approved, the court officer can set the bail amount and ultimately determine the charges raised by the officers who carried out the arrest, which will then be entered into the state's computer system for case tracking."
听证会也会根据嫌疑人的权利，定下快速审判的日期。,The hearing also marks the date for the suspect’s right to a speedy trial.,The hearing will also set a date for a swift trial according to the suspect's rights.
澳大利亚财务部长、最有可能接替总理约翰·霍华德担任自由党领袖的彼得·科斯特洛，对澳大利亚的核电工业表示支持。,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Australia's Minister for Finance and the most likely successor to Prime Minister John Howard as Liberal Party leader, Peter Costello, has expressed support for Australia's nuclear industry."
科斯特洛先生说，当核能发电在经济上有可行性的时候，澳大利亚应当推进核电的使用。,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","Mr. Costello said that when nuclear power generation is economically feasible, Australia should promote the use of nuclear energy."
“如果可以用于商业目的，我们就应该推广这种方式。也就是说，原则上不存在反对核能的理由。”科斯特洛先生说道。,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","""If it can be used for commercial purposes, we should promote this approach. In other words, there is no fundamental reason against nuclear energy,"" said Mr. Costello."
安莎通讯社表示：“警方对多起高层遇袭事件感到担忧，担心这类事件可能会引发一场全面继任战争。,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","Ansa News Agency reported: ""The police are concerned about the multiple high-rise attacks, fearing such incidents may trigger a full succession war."""
警方表示，洛皮科洛之所以能占上风，是因为他曾是普罗文扎诺在巴勒莫的得力助手。他经验丰富，赢得了老一辈黑帮老大们的尊重，这些人奉行普罗文扎诺的政策，在增强帮派势力的同时，尽可能保持低调。,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,"The police stated that Lo Piccolo gained the upper hand because he was once a trusted assistant to Provenzano in Palermo, an experienced figure who earned the respect of older mob bosses who adhered to Provenzano's policies, aiming to enhance gang influence while maintaining a low profile as much as possible."
1992 年，普罗文扎诺（Provenzano）结束了由里亚纳发动的反政府的战争，这场战争夺去了黑手党十字军乔瓦尼·法尔科内（Giovanni Falcone）和保罗·博尔塞利诺（Paolo Borsellino）的生命，随后这些老大们就被他控制住了。“,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","In 1992, Provenzano ended the anti-government war launched by Rianana, which had cost the lives of the Mafia crusaders Giovanni Falcone and Paolo Borsellino, after which he took control of these bosses."
苹果公司的首席执行官史蒂夫·乔布斯走上舞台，从他的牛仔裤口袋里掏出 iPhone，揭开了这款设备的神秘面纱。,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,"Steve Jobs, the CEO of Apple, stepped onto the stage, pulled an iPhone from his jeans pocket, and unveiled the mystery of this device."
在他时长 2 小时的演讲中，他声称：“现在苹果要重新发明手机，我们现在要创造历史。”,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","In his two-hour speech, he claimed, ""Apple now has to reinvent the phone, and we are now creating history."""
巴西是世界上最大的罗马天主教国家，而该国的罗马天主教会向来反对同性婚姻合法化。,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","Brazil is the world's largest Roman Catholic country, and the country's Roman Catholic Church has always opposed the legalization of same-sex marriage."
10 年来，巴西国民议会一直就其合法性进行讨论，目前这种民间婚姻只在南里奥格兰德 (Rio Grande do Sul) 是合法的。,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","Over the past 10 years, Brazil's National Congress has been debating the legality of same-sex marriage, which is currently only legal in Southern Rio Grande do Sul."
最初的法案由前圣保罗市长玛尔塔·苏普里希草拟。这项经过修改的立法提案，目前由罗伯托·杰斐逊负责。,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.","The original bill was drafted by former São Paulo Mayor Martha Suplicy, and this revised legislative proposal is currently handled by Roberto Jefferson."
抗议者希望在请愿书上收集 120 万个签名，并在十一月提交给国民议会。,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,Protesters hope to collect 1.2 million signatures on the petition and submit it to the National Assembly in November.
显然，很多家庭都在寻求法律帮助，以反对这种驱逐行为。为此，东湾社区法律中心于3月20日举行会议，帮助房屋诈骗的受害者。,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","Clearly, many families are seeking legal help to oppose this eviction practice, so the East Bay Community Legal Center held a meeting on March 20th to assist victims of housing fraud."
房客们开始聊起身边趣闻，这时大部分涉事家庭突然意识到，OHA 的卡罗琳·威尔逊私吞了他们的押金，溜出城去了。,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","Guests began sharing amusing anecdotes, and at that moment, most of the involved families suddenly realized that OHA's Caroline Wilson had pocketed their deposits and slipped out of town."
Lockwood Gardens 的租户认为，可能还有 40户 甚至更多的家庭面临被驱逐的命运，因为他们了解到，奥克兰住房管理局的警察还在调查奥克兰其他可能陷入房屋骗局的公房。,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.","The residents of Lockwood Gardens believe that as many as 40 or even more families may face eviction, as they have learned that the Oakland Housing Authority's police are still investigating other public housing in Oakland that may be involved in housing scams."
乐队取消了演出活动，并向粉丝们表示了歉意。该场演出原本应在毛伊岛战争纪念体育场举行，预计将有 9000 人参与其中。,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","The band canceled the performance and apologized to the fans; the event was originally scheduled at the War Memorial Stadium on Maui and was expected to attract 9,000 people."
乐队的经纪公司是香港管理公司（HK management Inc.），该公司在 9 月 20 日最初取消演出活动时并未给出原因，转天却将之归咎于后勤保障原因。,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","The band's management company, Hong Kong Management Inc., initially gave no reason when canceling the performance events on September 20, but blamed logistical reasons the next day."
希腊著名律师萨基斯·科查吉欧格鲁 (Sakis Kechagioglou) 和乔治·尼可拉考普洛斯 (George Nikolakopoulos) 因被判贪污和腐败被关押在雅典的 Korydallus 监狱。,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",Greek renowned lawyers Sakis Kechagioglou and George Nikolakopoulos were detained in Korydallus Prison in Athens for being convicted of corruption and bribery.
因此，随着法官、律师、法务官和检察官前几年的非法勾当曝光于世，在希腊法律界引发了一场大丑闻。,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","As a result, the exposure of the illegal dealings of judges, lawyers, legal officers, and prosecutors over the past few years sparked a major scandal in the Greek legal profession."
几周前，议员兼律师马基斯·特里安塔菲洛普洛斯在阿尔法电视台的热门电视节目《Zoungla》中公布了这一消息，随后彼得罗斯·曼图瓦洛斯因其办公室成员涉嫌非法贪污受贿而被革职。,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","Several weeks ago, MP and lawyerakis Triantaphyllopoulos revealed this news on the popular TV show ""Zoungla"" on Alpha TV, after Petros Mantouvalos was dismissed for suspected illegal embezzlement and bribery by his office members."
此外，最高法官埃万杰洛斯·卡卢西斯因腐败和堕落行为被判入狱。,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.","Additionally, Chief Justice Evangelos Karaulis was sentenced to prison for corruption and moral corruption."
罗伯茨断然拒绝谈论生命从何时开始的问题。这是考虑堕胎伦理时的一个重要问题，他说，评论可能发生的案件细节是不道德的。,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.","Roberts flatly refused to discuss when life begins, calling it an important issue when considering abortion ethics and adding that commenting on the details of potential cases is unethical."
然而，他重申了先前的声明，即罗伊诉韦德案（Roe v. Wade）是“美国的既定法律”，并强调最高法院作出一致性裁决的重要性。,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","However, he reiterated his previous statement that Roe v. Wade is ""the established law of the United States"" and emphasized the importance of the Supreme Court's consistent ruling."
他还确认，他赞成默示隐私权，而这默示隐私权是罗伊（Roe）案件的裁决依据。,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,"He also confirmed that he supports implied privacy rights, and these implied privacy rights are the basis for the ruling in the Roe case."
马鲁基多尔 (Maroochydore) 已经遥遥领先，以六分的优势领先第二名的努沙 (Noosa)。,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",Maroochydore is far ahead with a six-point lead over second-place Noosa.
双方在主要的半决赛中较量。努萨以 11 分的优势获胜。,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,"The two sides faced off in the main semi-finals, with Nusa winning by a 11-point margin."
马鲁基多尔 (Maroochydore) 随后在预决赛中击败了卡布尔彻 (Caboolture)。,Maroochydore then defeated Caboolture in the Preliminary Final.,Maroochydore subsequently defeated Caboolture in the preliminary and final rounds.
伊氏西爪龙属于驰龙科，是迅猛龙的表亲。,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,The Yi Xi Jiao Long belongs to the驰龙 family and is a close relative of the Velociraptor.
据说，这种全身长满羽毛的温血猛禽像迅猛龙一样，用带爪子的两条腿直立行走。,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","It is said that this feather-covered, warm-blooded raptor walks upright on its two clawed legs like a Velociraptor."
它的第二只爪子要大一些，因此得名“赫斯佩罗龙”，意思是“西方的爪”。,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","Its second claw is larger, hence the name ""Hesperocyon,"" meaning ""Western Claw."""
不只是碎冰，极端的天气状况也让救援工作困难重重。,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.","Not just the ice breakage, but also the extreme weather conditions have made the rescue work extremely difficult."
皮特曼认为天气情况要到下周才能改善。,Pittman suggested that conditions wouldn't improve until sometime next week.,Pittman thinks the weather situation won't improve until next week.
皮特曼（Pittman）认为，这样的积冰的数量和厚度，是猎海豹船在过去 15 年以来遇到的最坏情况。,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",Pittman believes that the quantity and thickness of this ice are the worst conditions the seal-hunting ships have encountered in the past 15 years.
今天红湖社区为杰夫·韦斯 (Jeff Weise) 和九名受害者中的三人举行葬礼时有消息称，另一名与 3 月 21 日校园枪击案有关的学生已被捕。,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,"At today's funeral for Jeff Weise and three of the nine victims in the Red Lake Community, it was reported that another student connected to the March 21st campus shooting had been arrested."
除了确认今天的逮捕外，官方几乎没有发布任何其他信息。,Authorities said little officially beyond confirming today's arrest.,"Besides confirming today's arrest, authorities have released almost no other information."
不过，一位知情人士向《明尼阿波利斯星坛报》透露，凶手是红湖部落（Red Lake Tribal）主席弗洛伊德·乔丹（Floyd Jourdain）之子，16 岁的路易斯·乔丹（Louis Jourdain）。,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","However, a source close to the matter told the Minneapolis Star Tribune that the killer is the son of Floyd Jourdain, the chairman of the Red Lake Tribal, Louis Jourdain, age 16."
目前既不知道将会被指控何种罪名，也不知道当局是如何认定这个男孩有犯罪嫌疑的，但联邦法院已经开始进行少年犯诉讼程序。,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,"Currently, neither the specific charges nor the authorities' reasoning for considering the boy a suspect are known, but the federal court has already begun the juvenile offender proceedings."
