src,ref,hyp
"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",佢喺當晚嘅第二個入球係佢喺呢個賽季嘅第60個個人入球，成為自1995-1996賽季哈路米亞·查格同馬利奧·勒米阿分別達成呢個里程碑以來，首位喺一個賽季中錄得60個或以上入球嘅球員。,佢嗰晚嘅第二個入波係佢呢季嘅第60球，成為首位喺一季入咗60個或以上波嘅球員，自1995-96年以來，當時薩格奧達同麥利奧各自達到呢個里程碑。
Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,巴頓喺2008年全美富豪400強榜單入面排名第190位，估計資產總值達到23億美元。,巴頓喺2008年400個最富美國人名單排第190位，估計身家2.3億美元。
He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,佢1950年喺維珍尼亞大學藝術與科學學院畢業，之後成為咗呢間學校嘅重要捐助人。,佢喺一九五零年喺維吉尼亞大學嘅文理學院畢業，而且係嗰間學院嘅重要捐助者。
Iraq's Abu Ghraib prison has been set alight during a riot.,伊拉克嘅阿布格萊布監獄喺一次騷亂畀人燒毀。,伊拉克嘅阿布格莱布監獄喺一場騷亂入面着咗火。
The jail became notorious after prisoner abuse was discovered there after US forces took over.,發現美軍接管後虐待囚犯，監獄從此聲名狼藉。,監獄喺美國軍隊接管之後因發現有囚犯虐待事件而聞名。
"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",喺2008年嘅新加坡大獎賽上，小皮奎特剛喺費南度·阿朗素提前入站就撞車，令到安全車出動。,皮奎特仔喺2008年新加坡大獎賽入面，喺費爾南多·阿隆索早停站之後即刻撞車，搞到安全車出嚟。
"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",當阿朗素前面嘅賽車喺安全車後加油時，佢就超前，贏得勝利。,喺安全車行入面，阿諾素前面啲車去加油，佢就升上嚟攞到冠軍。
Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,小皮奎特喺 2009 年匈牙利大獎賽後就畀人炒魷魚。,皮奎特仔喺2009年匈牙利大賽之後被解僱。
"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",朝早嘅8點46分，全城一片寂靜，標誌著第一架飛機襲擊目標嘅時刻。,正正喺八點四十六分，城市突然靜靜無聲，記錄咗第一架飛機準確擊中目標嘅時刻。
Two beams of light have been rigged up to point skywards overnight.,兩束光喺一夜間被組裝起嚟指向天空。,兩條光束已經喺隔夜裝好嚟指向上方。
"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",五座新嘅摩天大樓正喺遺址施工，位於中央嘅係交通運輸中心同埋紀念公園。,入面正起五座新大廈，中間有個交通中心同紀念公園。
"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",呢個PBS節目得到二十幾個艾美獎，佢嘅播出時間只係比芝麻街同埋羅渣士先生嘅社區短。,呢個PBS節目有超過兩打奧斯卡獎，而佢嘅播放時間只得喺《芝麻街》同《羅傑先生鄰里》之後先短。
Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,節目嘅每一集專注於一本特定書本嘅主題，跟住通過多個故事去探討嗰個主題。,每集節目會以特定書本中嘅一個主題為焦點，然後透過多個故事去探索呢個主題。
Each show would also provide recommendations for books that children should look for when they went to their library.,每集仲幫小朋友建議去圖書館嘅時候應該搵邊啲書本。,每個節目都會推介兒童去圖書館應該睇嘅書。
"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""",嚟自WNED Buffalo（閱讀彩虹嘅主站）嘅約翰·格蘭講到：「閱讀彩虹教識咗小朋友點解要睇書…… 對閱讀嘅熱愛 — [呢個節目] 鼓勵小朋友攞起本書嚟睇。」,喺 WNED Buffало出身的約翰·格蘭特話，讀彩虹教小朋友點樣讀書，讀書嘅興趣——呢個節目鼓勵小朋友攞本書嚟睇。
"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",包括約翰·格蘭在內嘅一啲人認為，缺乏資金同埋教育電視節目理念有所改變，都係導致呢個系列節目完結嘅原因。,有啲人，包括 John Grant，相信資金短缺同埋教育電視節目哲學上嘅轉變都係令呢個節目結束嘅原因。
"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",預報員話，呢場位於佛得角群島以西645英哩（1040公里）嘅風暴，可能喺威脅到任何陸上地區之前消散。,嗰陣颱風喺距佛得角群島西面約莫645英里（1040公里），據預報員講，可能喺威脅到任何陸地之前就會消散。
Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,費特目前嘅風速係每小時105英哩（每小時165公里），向住西北方向移動。,Fred而家有105英里每小時（165公里每小時）嘅風，仲向西北面移。
"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",費特係自衛星圖像出現以嚟，喺大西洋南部同埋東部有記錄以嚟最強嘅熱帶氣旋，亦係西經35度線以東有記錄以嚟嘅第三大颶風。,弗雷德係至今為止最強嘅熱帶氣旋，由衛星影像出現之後，最南同最東面喺大西洋嘅記錄，而且係僅有第三個大颶風喺西經35度以東嘅記錄。
"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","1759年9月24日，艾達·健力士簽署咗一份為期9,000年嘅租約，租用愛爾蘭都柏林嘅聖詹士門啤酒廠。",九五九年九月廿四日，亞瑟 Guinness 喺愛爾蘭都柏林簽咗一份九千年年租約嚟租 St James' Gate 廠。
"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",250年後，健力士已經發展成為一個每年營業額超過100億歐元 (147億美元) 嘅全球企業。,二百五十年後，健力士已發展成一間全球性生意，每年營業額達一百億歐羅（十四億七千萬美元）。
"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",今日，A1GP 紐西蘭隊嘅副駕駛員莊尼·李特 (Jonny Reid) 創下歷史，合法地以最快速度駛過擁有 48 年歷史嘅紐西蘭奧克蘭海港大橋。,鍾尼·麥堅，A1GP紐西蘭隊副駕駛，今日合法地駕駛過紐西蘭奧克蘭海港大橋，創下48年來最快紀錄。
"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",李特先生成功駕駛新西蘭嘅 A1GP 汽車「黑美人」過橋七次，時速超過 160 公里。,雷先生成功駕駛紐西蘭A1GP座駕Black Beauty過橋七次，時速超過160公里。
"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",新西蘭警方因為「黑美人」嘅車身太矮，冇辦法用自身嘅測速雷達槍測到李特先生開得有幾快，只有其中一次佢減速到時速 160 公里，警方先可以幫佢測速。,新西蘭警務處因為黑貓太低，用唔到啲速度雷達槍睇黎 Reid 先生行幾快，唯一一次成功鎖住Reid先生嘅時候，就係佢慢咗落160公里每小時。
"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",喺過去嘅三個月，超過 80 名被捕人士獲中央拘留所獲釋，冇畀正式起訴。,過去三個月，超過八十名被扣留者冇經過正式控罪就從中央登記中心釋放咗。
"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",今年 4 月，格林法官頒布咗一項針對呢個設施嘅臨時限制令，下令強制釋放還押超過 24 小時都冇接受法庭專員聆訊嘅人士。,今年四月，法官Glynn對呢間設施發出臨時禁制令，要求釋放啲喺攞入面超過24個鐘但冇俾裁判官處理過嘅人。
"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",如果獲准保釋，專員可以定立保釋金，並正式確定逮捕人士提出嘅指控。呢哋指控之後會進入呢個州嘅電腦系統，跟住對案件進行追蹤。,監製定咗保釋，若然批准，就會將拘捕警員檔案入面嘅控罪正式化，然後將控罪登記喺州嘅電腦系統入面，跟住就會跟住案件嘅進度。
The hearing also marks the date for the suspect’s right to a speedy trial.,聆訊亦都代表疑犯有權得到快速審判嘅日期。,呢場聆訊亦訂咗疑犯要求快速審理嘅日期。
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",澳洲財政部長彼得•科斯特洛，同時亦都最有可能接替總理約翰•霍華德成為自由黨黨魁，表示支持澳洲發展核電產業。,彼得科斯羅，澳洲財政司同埋最有可能接替自由黨領袖喺约翰霍華德身後嘅人，已經支持澳洲嘅核能產業。
"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",科斯特洛先生表示，如果核能發電經濟上可行，澳洲應該考慮使用核能。,可士多先生話，當核電發電變得經濟上可行時，澳洲應該追隨佢哋嘅使用。
"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.",科斯特洛先生講到：「如果核能商業化，我哋就應該利用佢。亦即係話，我哋原則上唔反對核能。」,「要係商業化，我哋應該有；就係講原則上冇反對核能」科斯達羅說。
"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.",安莎通訊社表示：「警方對接連發生嘅高層刺殺行動表示關注，並擔心呢個可能會觸發黨內因為奪權而大開殺戒。」,根據安薩，警隊關注幾次頂尖衝擊，擔心會引發全面繼承戰爭。
Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,警方表示，因爲洛皮科洛曾經係普羅文扎諾喺巴勒莫嘅得力助手，所以佔咗上風。由於老一輩老闆奉行普羅文扎諾嘅政策，喺加強自己嘅權力網絡嘅同時，盡可能保持低調，所以佢豐富嘅經驗，幫佢贏得咗老闆嘅尊重。,差人話過羅皮高有上風因為佢係巴勒摩嘅證文佐佐，佢經驗比較老練令到老一輩嘅大佬尊重佢，因為佢哋跟住證文嘅政策，想盡可能低調同時加強佢哋嘅權力網絡。
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",1992 年，普羅文扎諾結束咗由里依拿對政府發動嘅戰爭。呢場戰爭奪去咗黑手黨十字軍喬瓦尼·法爾科內同埋保羅·博爾塞利諾嘅性命。同時，個啲老闆都畀佢控制住。,呢啲老細俾 Provenzano 喺 1992 年終止咗 Riina 驅動嘅國家對抗戰爭，嗰陣時佢哋已經俾 Provenzano 拉住咗，嗰場戰爭令到幾個幫派殉道者 Giovanni Falcone 同埋 Paolo Borsellino 死咗。
Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,蘋果行政總裁史蒂夫·喬布斯走上台，喺牛仔褲袋入面攞出部 iPhone，將呢款裝置公諸於世。,蘋果CEO史提夫喺舞台上面走上去，攞出佢嘅牛仔褲袋入面嘅iPhone嚟展示。
"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".",佢喺兩個鐘嘅演講入面話：「今日，蘋果將會重新發明手機，今日，我哋將會創造歷史。」,喺佢嗰場兩個鐘頭嘅講話入面，佢話今日蘋果會重新發明手機，我哋今日會創造歷史。
"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.",巴西係世界上最大嘅羅馬天主教國家，而羅馬教廷一直反對同性婚姻喺巴西合法化。,巴西係地球上最大嘅羅馬天主教國家，而羅馬天主教會一直反對呢個國家同性婚姻合法化。
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",巴西國民議會已經就係咪合法化辯論咗十年，目前呢種民事婚姻只係喺南里約格蘭州合法。,巴西國會已經討論咗十多年婚姻合法化問題，而家呢啲民事婚姻只係喺聖羅倫索杜斯聖湯瑪士嘅聯邦州合法。
"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",最開始嘅法案係由聖保羅嘅前市長 瑪塔·蘇比利斯起草。呢項立法提案經過修改後，依家由羅拔圖·謝伐遜處理。,原來單係由聖保羅前市長瑪莎蘇普利西草擬嘅，經過修訂嘅建議法案而家喺羅伯特傑弗遜手上。
Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,抗議者希望收集120萬人簽名嘅請願書，喺11月提交畀國民議會。,示威者希望喺十一月向國會提交一份有120萬簽名嘅請願書。
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",明顯好多家庭都喺度尋求法律援助嚟對抗驅逐，之後 3 月 20 日喺東灣社區法律中心幫房屋騙局嘅受害者舉行咗一次會議。,喺知道好多家庭都為咗抗唔返樓而尋求法律幫助之後，喺三月份二十號喺東灣社區法律中心為住屋騙案嘅受害者舉行咗一場會議。
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",當租戶開始分享喺佢哋身上發生嘅事情嘅時候，大部分牽涉嘅家庭突然意識到，奧克蘭房屋委員會嘅卡羅蓮·威爾遜偷取咗佢哋嘅保證金，然後逃離城鎮。,當租戶開始分享佢哋經歷嘅事，涉及嘅好多家庭突然醒覺，原来OHA嘅卡羅琳·威爾遜偷咗佢哋嘅保證金，而且離城而走。
"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",洛克活花園嘅租戶認為，可能仲有另外40戶或者更多嘅家庭面臨被驅逐，因為佢哋了解到，奧克蘭房委會監管部門亦都正喺度調查緊奧克蘭其他可能同房屋騙局有關嘅公屋。,樓下鎮廣場嘅租戶相信可能仲有得四十個家庭或者更多會面臨驅逐，因為佢哋知道OHA警隊都係喺調查奧克蘭嘅其他公共房屋物業，可能都會捲入住屋詐騙。
"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",樂隊取消咗喺茂宜島戰爭紀念館嘅演出，並向歌迷致歉。呢場演出原定有 9000 人參加。,佢哋喺 Maui 嘅戰爭紀念體育場取消咗演出，原定有9000人去，之後向影迷道歉。
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",樂隊嘅管理公司 HK 管理公司喺 9 月 20 日取消活動時，一開始冇畀出原因，但係喺第二日就歸咎於後勤原因。,公司喺九月二十號無講明原因就取消咗，但係隔日就話係因為運輸問題。
"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",希臘著名律師薩基斯·傑查基奧格魯同埋佐治·尼高拉高普路斯被還押喺雅典科里達魯斯嘅監獄，佢哋被判貪污同埋腐敗罪。,佢哋呢兩個出名嘅希臘律師薩基斯·基察吉奧格魯同埋喬治·尼科拉科普洛斯已經喺雅典嘅科里達監獄入面坐監，因為佢哋俾人發現犯咗貪污同埋腐敗罪。
"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.",所以亦都揭露咗法官同埋律師過去多年所犯嘅非法行為，掀起咗希臘法律界嘅大醜聞。,由呢個原因，希臘法律界出現咗一單大醜聞，係因為揭露咗法官、律師、大律師同埋律師過去幾年犯嘅非法行為。
"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.",記者馬基斯・千達菲洛普洛斯幾個禮拜前喺阿爾法電視台嘅熱門節目《Zoungla》裡面披露咗呢啲資料後，議員兼律師彼度斯・曼圖華洛斯就因為佢嘅職員涉嫌非法貪污同埋腐敗而被免職。,幾個禮拜前，喺新聞記者Makis Triantafylopoulos喺Alpha電視台嘅流行電視節目《Zoungla》發表嘅消息之後，國會議員同埋律師Petros Mantouvalos俾辭咗職，因為佢哋辦公室嘅人涉及非法貪污同貪腐。
"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",另外，最高法官艾雲傑洛斯·卡路西斯因為貪污同埋腐敗行為罪名成立被判監禁。,此外，最高法官燕文洛斯因被裁定贪污及行为堕落而坐监。
"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",羅拔士果斷拒絕談論佢對生命從幾時開始（考慮墮胎道德時嘅一個重要問題）嘅見解，並表示對可能情況嘅細節發表評論係唔道德嘅。,羅拔絲冇諗過話關於佢相信生命幾時開始，一個重要問題，諗起人工引產嘅道德時，話對可能嘅情況細節作出評論係唔道德嘅。
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.",不過，佢重申咗佢之前嘅聲明，即羅伊訴韋德案係「美國嘅既定法律」，強調咗最高法院一致裁決嘅重要性。,佢都重申咗之前嘅講法，話 Roe v. Wade 就係「地方法律」，同時強調咗最高法院判例一致嘅重要性。
He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,佢亦都確認佢相信羅伊案判決所依據嘅隱含私隱權。,佢亦確認佢信咗隱含嘅私隱權，而呢單嘢就係 Roe 裁決嘅依託。
"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",馬魯奇多已經爬到榜首位置，以六分嘅優勢領先第二名嘅努沙。,馬羅士多已經攞到頭位，比第二位的諾沙多六分。
The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,雙方喺主要半準決賽中對壘，努沙以 11 分嘅優勢擊敗對手。,兩隊喺準決賽相見，諾薩以11分之差贏出。
Maroochydore then defeated Caboolture in the Preliminary Final.,馬魯奇多之後喺預賽中擊敗卡布爾徹。,馬崙鎮先後打敗卡柏圖喺初級決賽。
Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,伊氏西爪龍係馳龍科嘅一種，係速龍嘅表親。,嚟自Dromaeosauridae科嘅Hesperonychus elizabethae係維爾科里aptor嘅表親。
"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.",呢種全身長滿羽毛嘅溫血猛禽，相信同速龍一樣用帶爪嘅兩隻脚直立行路。,呢隻完全有羽毛嘅溫血猛禽，傳說係用兩隻腳直立行走的，爪仔同維爾氏龍一樣。
"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""",佢嘅第二隻爪比較大，所以叫「西爪龍」，意思係「西方嘅爪」。,佢第二隻爪仔比較大，所以個名係希斯坡尼克斯，意思係「西邊嘅爪」。
"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",除咗碎冰層，極端嘅天氣狀況亦會阻礙救援工作。,除咗打碎嘅冰，極端天氣情況都係阻礙咗搜救工作。
Pittman suggested that conditions wouldn't improve until sometime next week.,彼特文認為，情況要到下星期某個時候先會有改善。,比達文建議咗條件唔會好到先至下個禮拜啲時候。
"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",根據彼特文嘅講法，浮冰嘅數量同厚度係過去 15 年以嚟捕獵海豹船員所經歷最差嘅。,根據派特曼講，包冰嘅量同厚度係過去十五年嚟捕海豹嘅人最差嘅。
News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,今日紅湖社區傳嚟消息，謝夫·韋斯同九個受害者之中嘅其中三個舉行葬禮，另外一個涉嫌3月21號校園槍擊案嘅學生被捕。,紅湖社區今日傳出消息，喺喺3月21號學校槍擊案嘅關係下，另一個學生俾人捉咗，而Jeff Weise同另外三個死者嘅葬禮亦都喺度舉行。
Authorities said little officially beyond confirming today's arrest.,當局除咗確認今日嘅拘捕行動，另外提供嘅官方資料唔多。,當局官方冇乜嘢講，只係確認今日有拘捕。
