src,ref,hyp
朝早嘅8點46分，全城一片寂靜，標誌著第一架飛機襲擊目標嘅時刻。,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","At 8:46 a.m., the entire city was in silence, marking the moment the first aircraft struck the target."
兩束光喺一夜間被組裝起嚟指向天空。,Two beams of light have been rigged up to point skywards overnight.,Two beams of light were assembled overnight and pointed towards the sky.
五座新嘅摩天大樓正喺遺址施工，位於中央嘅係交通運輸中心同埋紀念公園。,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Five new skyscrapers are currently under construction at the site, with the transportation hub and memorial park located at the center."
呢個PBS節目得到二十幾個艾美獎，佢嘅播出時間只係比芝麻街同埋羅渣士先生嘅社區短。,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","This PBS program has won over twenty Emmys, and its broadcast time is only shorter than Sesame Street and Mr. Rogers' Neighborhood."
節目嘅每一集專注於一本特定書本嘅主題，跟住通過多個故事去探討嗰個主題。,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Each episode of the series focuses on the theme of a specific book and explores that theme through multiple stories.
每集仲幫小朋友建議去圖書館嘅時候應該搵邊啲書本。,Each show would also provide recommendations for books that children should look for when they went to their library.,"When watching each episode, it's also recommended that children look for certain types of books when they go to the library."
嚟自WNED Buffalo（閱讀彩虹嘅主站）嘅約翰·格蘭講到：「閱讀彩虹教識咗小朋友點解要睇書…… 對閱讀嘅熱愛 — [呢個節目] 鼓勵小朋友攞起本書嚟睇。」,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grann from WNED Buffalo, speaking on Rainbow's main website, said, ""Rainbow taught children why they should read books... their passion for reading — [this program] encourages children to pick up a book and read."""
包括約翰·格蘭在內嘅一啲人認為，缺乏資金同埋教育電視節目理念有所改變，都係導致呢個系列節目完結嘅原因。,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.","Some people, including John Grann, believe that lack of funding and the changing concept of educational television programs are the reasons for the end of this series."
預報員話，呢場位於佛得角群島以西645英哩（1040公里）嘅風暴，可能喺威脅到任何陸上地區之前消散。,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","The forecaster said that the storm, located 645 miles (1040 kilometers) west of the Cape Verde Islands, may dissipate before threatening any land areas."
費特目前嘅風速係每小時105英哩（每小時165公里），向住西北方向移動。,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,The current wind speed is 105 miles per hour (165 kilometers per hour) moving towards the northwest.
費特係自衛星圖像出現以嚟，喺大西洋南部同埋東部有記錄以嚟最強嘅熱帶氣旋，亦係西經35度線以東有記錄以嚟嘅第三大颶風。,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fleet has been the strongest tropical cyclone recorded in the southern and eastern parts of the Atlantic since its appearance, and also the third-largest hurricane recorded east of the line of longitude 35°W."
"1759年9月24日，艾達·健力士簽署咗一份為期9,000年嘅租約，租用愛爾蘭都柏林嘅聖詹士門啤酒廠。","On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","On September 24, 1759, Arthur Guinness signed a 9,000-year lease for the St. James's Gate Brewery in Dublin, Ireland."
250年後，健力士已經發展成為一個每年營業額超過100億歐元 (147億美元) 嘅全球企業。,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","Two hundred fifty years later, Guinness has developed into a global enterprise with annual revenues exceeding €10 billion (€14.7 billion)."
今日，A1GP 紐西蘭隊嘅副駕駛員莊尼·李特 (Jonny Reid) 創下歷史，合法地以最快速度駛過擁有 48 年歷史嘅紐西蘭奧克蘭海港大橋。,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.","Today, Jonny Reid, the deputy driver of the A1GP New Zealand team, set a record by legally driving at the fastest speed across the 48-year-old Auckland Harbour Bridge in New Zealand."
李特先生成功駕駛新西蘭嘅 A1GP 汽車「黑美人」過橋七次，時速超過 160 公里。,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","Mr. Lee Tae successfully drove New Zealand's A1GP car ""Black Beauty"" across the bridge seven times at over 160 kilometers per hour."
新西蘭警方因為「黑美人」嘅車身太矮，冇辦法用自身嘅測速雷達槍測到李特先生開得有幾快，只有其中一次佢減速到時速 160 公里，警方先可以幫佢測速。,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","The New Zealand police couldn't measure how fast Mr. Lee was driving with their own speed guns because the car body of the ""Black Beauty"" was too low, but only once when he slowed down to 160 kilometers per hour could they get a speed reading."
喺過去嘅三個月，超過 80 名被捕人士獲中央拘留所獲釋，冇畀正式起訴。,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.","Over the past three months, more than 80 detained individuals have been released from the Central Detention Centre without formal charges."
今年 4 月，格林法官頒布咗一項針對呢個設施嘅臨時限制令，下令強制釋放還押超過 24 小時都冇接受法庭專員聆訊嘅人士。,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","In April of this year, Judge Green issued a temporary restraining order against this facility, ordering the forced release of individuals who had been held for more than 24 hours without attending a court-appointed hearing."
如果獲准保釋，專員可以定立保釋金，並正式確定逮捕人士提出嘅指控。呢哋指控之後會進入呢個州嘅電腦系統，跟住對案件進行追蹤。,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","If granted bail, the officer can set the bail amount and officially determine the charges filed against the arrestee. These charges will then enter the state's computer system and proceed with case tracking."
聆訊亦都代表疑犯有權得到快速審判嘅日期。,The hearing also marks the date for the suspect’s right to a speedy trial.,The hearing also represents the defendant's right to a speedy trial date.
澳洲財政部長彼得•科斯特洛，同時亦都最有可能接替總理約翰•霍華德成為自由黨黨魁，表示支持澳洲發展核電產業。,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Australia's Treasurer Peter Costello, who is also the most likely successor to Prime Minister John Howard as Liberal Party leader, has stated his support for Australia developing the nuclear power industry."
科斯特洛先生表示，如果核能發電經濟上可行，澳洲應該考慮使用核能。,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","Mr. Kosztolnyik stated that if nuclear power generation is economically viable, Australia should consider using nuclear energy."
科斯特洛先生講到：「如果核能商業化，我哋就應該利用佢。亦即係話，我哋原則上唔反對核能。」,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","Mr. Kosztolnyi said, ""If nuclear energy is commercialized, we should utilize it, which means we are basically not opposed to nuclear energy."""
安莎通訊社表示：「警方對接連發生嘅高層刺殺行動表示關注，並擔心呢個可能會觸發黨內因為奪權而大開殺戒。」,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.",The Associated Press reported that the police are concerned about the recent high-level assassination attempts and fear this could trigger a bloody power struggle within the party.
警方表示，因爲洛皮科洛曾經係普羅文扎諾喺巴勒莫嘅得力助手，所以佔咗上風。由於老一輩老闆奉行普羅文扎諾嘅政策，喺加強自己嘅權力網絡嘅同時，盡可能保持低調，所以佢豐富嘅經驗，幫佢贏得咗老闆嘅尊重。,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,"The police stated that since Lopico洛皮科洛 had previously been Provenzano普羅文扎諾's trusted assistant in Palermo巴勒莫, he held the advantage; due to the older boss adhering to Provenzano's policies, striving to consolidate his power network while remaining as low-key as possible, his extensive experience earned him the respect of the boss."
1992 年，普羅文扎諾結束咗由里依拿對政府發動嘅戰爭。呢場戰爭奪去咗黑手黨十字軍喬瓦尼·法爾科內同埋保羅·博爾塞利諾嘅性命。同時，個啲老闆都畀佢控制住。,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","In 1992, Provenzano ended the war launched by Rieina against the government, which cost the lives of the mafia knights Giovanni Falcone and Paul Borsellino, while the bosses seized control."
蘋果行政總裁史蒂夫·喬布斯走上台，喺牛仔褲袋入面攞出部 iPhone，將呢款裝置公諸於世。,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,"Steve Jobs, the Apple CEO, stepped onto the stage, took out an iPhone from his jeans pocket, and introduced this device to the public."
佢喺兩個鐘嘅演講入面話：「今日，蘋果將會重新發明手機，今日，我哋將會創造歷史。」,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","He said in his two-hour speech, ""Today, Apple will reinvent the smartphone. Today, we will create history."""
巴西係世界上最大嘅羅馬天主教國家，而羅馬教廷一直反對同性婚姻喺巴西合法化。,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","Brazil is the world's largest Roman Catholic country, and the Vatican has consistently opposed the legalization of same-sex marriage in Brazil."
巴西國民議會已經就係咪合法化辯論咗十年，目前呢種民事婚姻只係喺南里約格蘭州合法。,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","The Brazilian National Congress has been debating whether to legalize it for ten years, and civil marriage is currently only legal in Southern Rio Grande do Sul."
最開始嘅法案係由聖保羅嘅前市長 瑪塔·蘇比利斯起草。呢項立法提案經過修改後，依家由羅拔圖·謝伐遜處理。,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.","The original bill was drafted by the former mayor of St. Paul, Mattie Sue Svengen, and after being amended, it is now being handled by Robert Schavson."
抗議者希望收集120萬人簽名嘅請願書，喺11月提交畀國民議會。,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,Protesters hope to collect a petition with 1.2 million signatures and submit it to the National Assembly by November.
明顯好多家庭都喺度尋求法律援助嚟對抗驅逐，之後 3 月 20 日喺東灣社區法律中心幫房屋騙局嘅受害者舉行咗一次會議。,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","Many families are seeking legal aid to oppose eviction, and a meeting was held at the East Bay Community Legal Center for victims of housing fraud on March 20."
當租戶開始分享喺佢哋身上發生嘅事情嘅時候，大部分牽涉嘅家庭突然意識到，奧克蘭房屋委員會嘅卡羅蓮·威爾遜偷取咗佢哋嘅保證金，然後逃離城鎮。,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","When tenants began sharing what had happened to them, most of the involved families suddenly realized that Oakland Housing Authority's Carol Wilson had stolen their security deposit and then fled the town."
洛克活花園嘅租戶認為，可能仲有另外40戶或者更多嘅家庭面臨被驅逐，因為佢哋了解到，奧克蘭房委會監管部門亦都正喺度調查緊奧克蘭其他可能同房屋騙局有關嘅公屋。,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",The residents of Locke Gardens believe that there may be another 40 or more families facing eviction because they have learned that the Oakland Housing Authority's regulatory department is also investigating other public housing in Oakland that may be related to housing fraud.
樂隊取消咗喺茂宜島戰爭紀念館嘅演出，並向歌迷致歉。呢場演出原定有 9000 人參加。,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","The band canceled their performance at the War Memorial on Maui and apologized to the fans; the event was originally planned to attract 9,000 attendees."
樂隊嘅管理公司 HK 管理公司喺 9 月 20 日取消活動時，一開始冇畀出原因，但係喺第二日就歸咎於後勤原因。,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","The band's management company, HK Management, initially gave no reason for canceling the event on September 20 but blamed logistical issues the following day."
希臘著名律師薩基斯·傑查基奧格魯同埋佐治·尼高拉高普路斯被還押喺雅典科里達魯斯嘅監獄，佢哋被判貪污同埋腐敗罪。,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.","Greek renowned lawyers Sakis Giorgakopoulos and George Nikolaou Protopoulos were remanded in custody at the Koridallos prison in Athens, having been convicted of corruption and bribery."
所以亦都揭露咗法官同埋律師過去多年所犯嘅非法行為，掀起咗希臘法律界嘅大醜聞。,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","So it also exposed the illegal actions committed by judges and lawyers over the past many years, sparking a major scandal in the Greek legal profession."
記者馬基斯・千達菲洛普洛斯幾個禮拜前喺阿爾法電視台嘅熱門節目《Zoungla》裡面披露咗呢啲資料後，議員兼律師彼度斯・曼圖華洛斯就因為佢嘅職員涉嫌非法貪污同埋腐敗而被免職。,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","After the reporter Marcus Candeflopulos disclosed this information in the popular Alpha TV program ""Zoungla"" a few weeks ago, the议员兼律师Pedro Mantuvalos was dismissed due to his staff's alleged illegal corruption."
另外，最高法官艾雲傑洛斯·卡路西斯因為貪污同埋腐敗行為罪名成立被判監禁。,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.","Additionally, Chief Justice Evanjelos Calluxis was sentenced to prison for corruption and bribery charges."
羅拔士果斷拒絕談論佢對生命從幾時開始（考慮墮胎道德時嘅一個重要問題）嘅見解，並表示對可能情況嘅細節發表評論係唔道德嘅。,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",Robert firmly refused to discuss his views on when life begins (an important issue when considering abortion morality) and stated that commenting on the details of possible scenarios is unethical.
不過，佢重申咗佢之前嘅聲明，即羅伊訴韋德案係「美國嘅既定法律」，強調咗最高法院一致裁決嘅重要性。,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","However, he reiterated his previous statement that the Roy v Wade case is ""America's established law"" and emphasized the importance of the Supreme Court's unanimous decision."
佢亦都確認佢相信羅伊案判決所依據嘅隱含私隱權。,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,He also confirmed that he believes the ruling in the Roy case is based on an implied right to privacy.
馬魯奇多已經爬到榜首位置，以六分嘅優勢領先第二名嘅努沙。,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.","Marludio has already climbed to the top spot, leading second-place Nusha by six points."
雙方喺主要半準決賽中對壘，努沙以 11 分嘅優勢擊敗對手。,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,"The two teams faced off in the main semi-finals, with Nusha defeating her opponent with a 11-point advantage."
馬魯奇多之後喺預賽中擊敗卡布爾徹。,Maroochydore then defeated Caboolture in the Preliminary Final.,"After Marcelo Melo, Cabul Cher lost in the preliminary round."
伊氏西爪龍係馳龍科嘅一種，係速龍嘅表親。,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,"The Yi Xi Jiao Long is a species of the驰龙科, and is a close relative of the速龙."
呢種全身長滿羽毛嘅溫血猛禽，相信同速龍一樣用帶爪嘅兩隻脚直立行路。,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","This kind of feather-covered warm-blooded raptor is believed to have walked upright on its two clawed legs, just like Velociraptor."
佢嘅第二隻爪比較大，所以叫「西爪龍」，意思係「西方嘅爪」。,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","His second claw is larger, so it's called ""Western Claw Dragon,"" meaning ""the claw of the West."""
除咗碎冰層，極端嘅天氣狀況亦會阻礙救援工作。,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.","Besides the ice shelf, the extreme weather conditions will also hinder the rescue efforts."
彼特文認為，情況要到下星期某個時候先會有改善。,Pittman suggested that conditions wouldn't improve until sometime next week.,Peter thinks things will only start to improve sometime next week.
根據彼特文嘅講法，浮冰嘅數量同厚度係過去 15 年以嚟捕獵海豹船員所經歷最差嘅。,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.","According to Peter's account, the quantity and thickness of the floating ice have been the worst experienced by seal-hunting crews in the past 15 years."
今日紅湖社區傳嚟消息，謝夫·韋斯同九個受害者之中嘅其中三個舉行葬禮，另外一個涉嫌3月21號校園槍擊案嘅學生被捕。,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,"The latest news from Honghu Community reports that Shea Weiss, along with three of the nine victims, is holding a funeral while another student suspected in the March 21st campus shooting has been arrested."
當局除咗確認今日嘅拘捕行動，另外提供嘅官方資料唔多。,Authorities said little officially beyond confirming today's arrest.,"The authorities, besides confirming today's arrest operation, have not provided much official information."
不過，一位對調查知情嘅人士向《明尼阿波利斯明星論壇報》透露，兇手係紅湖部落隊主席佛洛伊德·佐丹16 歲嘅仔路易·佐丹。,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","However, a person informed about the investigation told the Minneapolis Star Tribune that the killer is 16-year-old Louis Floyd, the son of Red Lake Nation Band Chairman Floyd James."
目前唔知會作出邊啲控罪，亦都唔知當局係點樣搵到呢個男仔嘅，但係聯邦法院已經著手處理少年訴訟。,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,"The authorities are currently unsure which charges will be filed and how they located the boy, but the federal court has already taken up the juvenile case."
